# {"t_start": 1601112995.44913, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.051868
-10,10,0.077802
-10,10,0.103732
-10,10,0.129624
-10,10,0.157588
-10,10,0.183518
-3,4,0.194489
-8,9,0.525138
-7,8,0.548061
-10,10,0.574001
-10,10,0.664748
-10,10,0.689684
-10,10,0.716615
-10,10,0.742504
-10,10,0.839247
-10,10,0.86521
-10,10,0.892138
-10,10,0.918083
-10,10,0.944993
-10,10,1.013822
-10,10,1.040745
-7,8,1.06169
-10,10,1.088593
-10,10,1.11455
-10,10,1.14048
-4,5,1.154447
-10,10,1.180373
-10,10,1.265145
-10,10,1.320003
-10,10,1.346928
-10,10,1.372857
-10,10,1.399785
-10,10,1.425716
-10,10,1.452644
-10,10,1.478575
-10,10,1.505503
-10,10,1.531428
-10,10,1.624182
-5,6,1.64014
-10,10,1.666073
-10,10,1.691007
-10,10,1.716937
-10,10,1.741881
-10,10,1.768798
-10,10,1.794729
-10,10,1.909423
-6,7,1.926383
-5,6,1.94433
-10,10,1.97226
-10,10,1.99719
-10,10,2.023118
-10,10,2.050048
-10,10,2.075977
-10,10,2.103904
-10,10,2.13083
-10,10,2.253492
-10,10,2.285379
-10,10,2.318291
-10,10,2.349207
-9,10,2.430026
-10,10,2.456966
-10,10,2.483896
-10,10,2.508819
-5,6,2.524742
-10,10,2.551717
-10,10,2.637347
-10,10,2.664275
-10,10,2.690205
-10,10,2.715157
-10,10,2.740072
-7,8,2.82684
-10,10,2.854765
-7,8,2.877035
-5,6,2.892664
-10,10,2.95749
-10,10,3.014338
-10,10,3.039271
-10,10,3.065214
-10,10,3.092144
-10,10,3.117064
-10,10,3.143992
-10,10,3.169922
-10,10,3.198848
-10,10,3.315581
-6,7,3.334484
-10,10,3.363412
-10,10,3.392329
-10,10,3.423247
-3,4,3.435215
-10,10,3.462189
-10,10,3.488072
-5,6,3.504029
-10,10,3.613736
-10,10,3.681554
-10,10,3.707484
-10,10,3.734412
-10,10,3.760343
-10,10,3.786274
-10,10,3.812205
-10,10,3.923906
-10,10,3.949836
-10,10,3.975767
-10,10,4.001698
-10,10,4.029624
-10,10,4.055554
-10,10,4.13147
-10,10,4.157401
-10,10,4.183332
-10,10,4.208265
-10,10,4.235209
-10,10,4.260125
-10,10,4.356868
-10,10,4.383791
-10,10,4.411728
-10,10,4.437657
-10,10,4.530403
-9,10,4.556349
-3,4,4.568303
-6,7,4.58725
-10,10,4.614177
-7,8,4.634137
-10,10,4.660049
-10,10,4.684988
-10,10,4.826615
-10,10,4.857524
-10,10,4.884461
-10,10,4.91138
-10,10,4.939294
-10,10,4.966198
-10,10,4.990174
-10,10,5.07295
-10,10,5.100021
-10,10,5.154881
-10,10,5.179815
-10,10,5.206744
-10,10,5.233671
-10,10,5.259614
-8,9,5.284528
-10,10,5.309429
-10,10,5.397243
-10,10,5.425159
-10,10,5.484002
-10,10,5.539852
-10,10,5.565776
-10,10,5.592709
-10,10,5.618601
-10,10,5.676492
-10,10,5.703415
-10,10,5.730343
-10,10,5.757262
-10,10,5.784159
-10,10,5.809092
-10,10,5.894904
-10,10,5.920834
-10,10,5.948754
-5,6,6.01558
-10,10,6.041512
-10,10,6.06942
-6,7,6.086401
-10,10,6.115314
-3,4,6.126278
-10,10,6.153209
-10,10,6.178147
-10,10,6.270913
-9,10,6.296827
-8,9,6.320867
-8,9,6.344761
-10,10,6.369696
-6,7,6.431569
-10,10,6.459495
-10,10,6.486423
-10,10,6.511356
-5,6,6.527274
-10,10,6.624054
-10,10,6.648994
-10,10,6.673923
-10,10,6.700849
-10,10,6.726795
-10,10,6.752672
-10,10,6.849455
-10,10,6.874385
-10,10,6.901317
-10,10,6.927235
-10,10,6.954169
-9,10,7.040939
-10,10,7.065873
-10,10,7.091815
-5,6,7.106764
-10,10,7.133692
-10,10,7.159616
-10,10,7.185558
-9,10,7.270326
-10,10,7.296257
-10,10,7.322191
-10,10,7.349115
-5,6,7.364079
-10,10,7.391556
-8,9,7.415492
-10,10,7.440425
-10,10,7.466359
-10,10,7.561066
-10,10,7.585996
-10,10,7.612966
-10,10,7.638897
-10,10,7.665025
-10,10,7.758721
-10,10,7.785666
-10,10,7.810579
-10,10,7.835515
-10,10,7.862403
-10,10,7.889371
-10,10,7.915303
-10,10,7.941223
-10,10,7.967175
-10,10,8.066867
-10,10,8.093821
-10,10,8.118758
-10,10,8.145688
-10,10,8.231502
-10,10,8.257431
-10,10,8.283353
-10,10,8.309296
-10,10,8.334231
-10,10,8.361154
-10,10,8.388081
-10,10,8.415003
-10,10,8.507766
-8,9,8.532695
-10,10,8.558628
-8,9,8.630431
-10,10,8.689275
-10,10,8.715203
-10,10,8.741133
-10,10,8.820922
-10,10,8.847844
-10,10,8.908697
-10,10,8.933625
-10,10,8.959554
-10,10,8.985488
-10,10,9.012373
-10,10,9.087209
-10,10,9.114145
-10,10,9.140088
-10,10,9.247758
-10,10,9.272712
-10,10,9.298662
-10,10,9.324574
-10,10,9.352501
-9,10,9.416325
-10,10,9.442249
-10,10,9.469175
-10,10,9.494122
-6,7,9.513079
-8,9,9.536016
-10,10,9.562945
-10,10,9.590828
-6,7,9.608821
-5,6,9.623777
-10,10,9.710545
-10,10,9.73648
-4,5,9.751433
-10,10,9.776373
-10,10,9.802303
-10,10,9.828194
-10,10,9.855159
-10,10,9.881089
-10,10,9.97085
-10,10,9.996778
-10,10,10.02271
-4,5,10.036674
-7,8,10.057577
-10,10,10.083544
-10,10,10.15037
-10,10,10.175315
-10,10,10.204237
-10,10,10.23016
-9,10,10.303955
-10,10,10.331897
-5,6,10.348842
-10,10,10.37477
-10,10,10.4007
-10,10,10.426634
-10,10,10.453562
-5,6,10.470479
-10,10,10.495411
-10,10,10.520344
-10,10,10.622072
-4,5,10.635077
-10,10,10.661981
-6,7,10.678959
-8,9,10.702897
-10,10,10.729824
-10,10,10.756763
-10,10,10.837535
-5,6,10.855492
-10,10,10.881419
-8,9,10.905314
-10,10,10.930293
-10,10,10.956223
-10,10,11.050973
-10,10,11.077891
-10,10,11.105839
-10,10,11.132747
-10,10,11.158688
-10,10,11.184613
-10,10,11.209546
-10,10,11.290317
-10,10,11.317246
-10,10,11.378051
-10,10,11.403023
-10,10,11.428955
-10,10,11.509742
-10,10,11.537626
-10,10,11.567593
-10,10,11.596497
-10,10,11.624392
-10,10,11.651359
-6,7,11.737129
-8,9,11.762025
-10,10,11.787993
-6,7,11.806944
-9,10,11.832874
-10,10,11.859805
-10,10,11.886731
-3,4,11.896706
-10,10,11.985472
-10,10,12.013393
-10,10,12.059239
-7,8,12.081203
-10,10,12.107141
-10,10,12.18593
-10,10,12.20987
-10,10,12.235798
-10,10,12.261701
-10,10,12.28866
-10,10,12.314578
-10,10,12.338522
-10,10,12.418311
-10,10,12.446234
-10,10,12.472164
-10,10,12.497098
-10,10,12.522031
-10,10,12.54896
-10,10,12.57489
-10,10,12.664642
-10,10,12.692569
-10,10,12.719464
-10,10,12.744396
-10,10,12.77136
-10,10,12.798283
-10,10,12.823218
-4,5,12.897024
-10,10,12.926939
-4,5,12.940895
-10,10,12.965844
-10,10,13.038642
-10,10,13.064541
-10,10,13.089517
-10,10,13.11545
-10,10,13.142421
-10,10,13.170338
-10,10,13.197262
-7,8,13.218207
-10,10,13.324929
-10,10,13.350862
-10,10,13.375786
-10,10,13.402717
-10,10,13.427635
-10,10,13.454582
-10,10,13.536363
-10,10,13.562294
-10,10,13.588222
-10,10,13.61515
-10,10,13.642079
-10,10,13.734824
-10,10,13.760763
-10,10,13.786697
-5,6,13.801654
-6,7,13.822599
-4,5,13.834569
-5,6,13.852514
-6,7,13.871464
-10,10,13.898391
-10,10,13.925317
-10,10,14.055974
-9,10,14.08091
-10,10,14.106838
-6,7,14.12578
-10,10,14.150682
-10,10,14.175654
-10,10,14.203577
-10,10,14.231506
-7,8,14.337216
-10,10,14.363156
-10,10,14.389084
-5,6,14.406038
-6,7,14.42399
-10,10,14.450922
-7,8,14.471858
-10,10,14.497765
-10,10,14.52273
-5,6,14.53968
-10,10,14.566602
-10,10,14.660342
-10,10,14.686282
-10,10,14.714212
-10,10,14.741146
-10,10,14.767084
-10,10,14.794004
-10,10,14.87275
-6,7,14.893725
-10,10,14.920662
-10,10,14.94759
-9,10,14.973513
-10,10,14.999447
-10,10,15.02634
-10,10,15.05231
-10,10,15.080236
-10,10,15.189934
-10,10,15.214878
-10,10,15.243758
-10,10,15.327534
-10,10,15.355459
-10,10,15.381389
-10,10,15.408318
-10,10,15.435289
-10,10,15.460181
-10,10,15.554965
-10,10,15.581896
-10,10,15.620757
-10,10,15.656653
-10,10,15.693554
-10,10,15.727464
-10,10,15.834178
-10,10,15.872941
-10,10,15.908845
-10,10,15.934776
-10,10,15.959709
-10,10,15.985693
-10,10,16.064471
-10,10,16.090363
-10,10,16.116331
-10,10,16.142266
-10,10,16.169193
-10,10,16.196077
-10,10,16.223042
-10,10,16.249966
-10,10,16.343683
-10,10,16.36866
-10,10,16.395584
-10,10,16.42251
-10,10,16.450435
-10,10,16.476367
-10,10,16.503289
-10,10,16.529216
-10,10,16.55416
-10,10,16.663826
-10,10,16.68876
-10,10,16.715688
-10,10,16.740621
-10,10,16.820505
-10,10,16.847441
-10,10,16.873364
-6,7,16.891327
-10,10,16.922232
-10,10,17.007966
-10,10,17.035928
-5,6,17.096727
-10,10,17.120701
-4,5,17.156606
-10,10,17.181546
-10,10,17.20747
-10,10,17.233401
-10,10,17.259331
-10,10,17.285261
-8,9,17.309185
-10,10,17.415912
-10,10,17.44284
-10,10,17.469773
-10,10,17.495702
-10,10,17.555538
-10,10,17.58941
-10,10,17.632373
-10,10,17.708136
-10,10,17.735059
-10,10,17.761996
-10,10,17.787917
-10,10,17.813846
-10,10,17.841773
-10,10,17.926556
-10,10,17.955431
-10,10,17.983356
-3,4,18.033267
-8,9,18.0552
-10,10,18.081133
-10,10,18.10905
-10,10,18.13499
-10,10,18.161916
-10,10,18.231691
-10,10,18.257672
-10,10,18.284595
-6,7,18.301545
-10,10,18.328476
-10,10,18.356398
-10,10,18.387311
-8,9,18.411251
-10,10,18.437181
-6,7,18.517974
-10,10,18.574856
-10,10,18.602782
-10,10,18.629671
-10,10,18.656634
-10,10,18.742368
-10,10,18.768339
-10,10,18.796226
-6,7,18.816173
-10,10,18.898953
-10,10,18.925917
-10,10,18.953842
-10,10,18.981769
-10,10,19.073484
-10,10,19.102407
-10,10,19.130333
-10,10,19.158258
-10,10,19.186184
-10,10,19.212114
-10,10,19.240039
-10,10,19.267965
-10,10,19.37767
-10,10,19.404648
-10,10,19.43356
-10,10,19.458495
-10,10,19.485431
-10,10,19.51235
-10,10,19.538279
-10,10,19.565171
-9,10,19.591098
-10,10,19.711823
-10,10,19.739788
-10,10,19.767715
-10,10,19.794642
-9,10,19.821569
-10,10,19.848498
-10,10,19.876383
-10,10,19.902364
-10,10,19.930277
-10,10,20.046963
-10,10,20.073903
-10,10,20.100785
-10,10,20.166646
-10,10,20.192577
-10,10,20.218506
-10,10,20.245437
-10,10,20.273362
-10,10,20.346164
-10,10,20.3711
-10,10,20.398028
-10,10,20.423959
-10,10,20.452886
-10,10,20.480807
-10,10,20.506739
-10,10,20.533666
-8,9,20.619447
-10,10,20.646359
-10,10,20.673284
-10,10,20.700223
-10,10,20.726151
-6,7,20.810925
-10,10,20.836862
-10,10,20.863791
-10,10,20.890712
-10,10,20.917639
-10,10,20.943547
-10,10,20.973487
-7,8,20.995441
-10,10,21.022358
-10,10,21.11413
-10,10,21.141047
-10,10,21.168928
-10,10,21.196853
-10,10,21.224779
-10,10,21.252743
-10,10,21.346488
-10,10,21.372421
-10,10,21.399347
-10,10,21.424283
-10,10,21.483416
-10,10,21.511342
-10,10,21.537272
-9,10,21.563202
-10,10,21.589133
-10,10,21.615064
-10,10,21.640994
-10,10,21.666925
-10,10,21.693854
-10,10,21.804557
-10,10,21.831485
-10,10,21.857416
-10,10,21.883346
-10,10,21.911272
-10,10,21.935208
-10,10,21.962136
-10,10,21.989064
-10,10,22.093799
-10,10,22.118717
-10,10,22.14764
-10,10,22.174568
-10,10,22.202493
-10,10,22.229421
-10,10,22.319181
-10,10,22.346109
-10,10,22.37204
-10,10,22.39797
-3,4,22.409945
-10,10,22.434872
-10,10,22.462797
-10,10,22.489725
-10,10,22.59644
-5,6,22.6114
-8,9,22.635335
-10,10,22.662776
-10,10,22.687709
-8,9,22.711645
-10,10,22.737576
-10,10,22.763506
-7,8,22.785448
-10,10,22.903133
-10,10,22.929063
-10,10,22.954994
-10,10,22.98292
-10,10,23.011843
-10,10,23.091629
-10,10,23.117559
-10,10,23.181389
-10,10,23.207319
-10,10,23.234247
-10,10,23.260179
-10,10,23.287107
-10,10,23.315032
-10,10,23.34196
-10,10,23.368888
-10,10,23.465629
-10,10,23.492557
-10,10,23.520482
-10,10,23.546413
-10,10,23.572344
-10,10,23.600269
-10,10,23.671079
-10,10,23.69701
-10,10,23.723938
-10,10,23.749869
-10,10,23.773804
-10,10,23.799735
-10,10,23.895479
-10,10,23.922407
-10,10,23.948338
-10,10,23.975268
-10,10,24.004189
-10,10,24.072012
-10,10,24.127864
-10,10,24.153805
-10,10,24.179724
-10,10,24.205655
-10,10,24.231586
-10,10,24.257516
-10,10,24.283447
-10,10,24.367223
-10,10,24.393162
-10,10,24.419084
-10,10,24.44701
-10,10,24.473938
-10,10,24.501863
-10,10,24.581649
-10,10,24.614562
-10,10,24.647473
-4,5,24.695346
-10,10,24.754188
-10,10,24.780119
-10,10,24.805052
-10,10,24.830983
-10,10,24.856914
-9,10,24.883842
-9,10,24.963657
-10,10,25.008537
-10,10,25.075358
-10,10,25.101288
-10,10,25.128217
-10,10,25.154147
-10,10,25.180078
-10,10,25.207006
-6,7,25.28779
-10,10,25.31372
-4,5,25.326706
-10,10,25.391512
-10,10,25.434003
-10,10,25.459907
-10,10,25.485884
-10,10,25.512787
-10,10,25.540719
-10,10,25.566644
-10,10,25.593535
-10,10,25.617514
-10,10,25.644437
-8,9,25.743137
-10,10,25.769106
-10,10,25.795039
-10,10,25.820964
-9,10,25.846894
-10,10,25.872825
-7,8,25.893733
-5,6,25.910727
-10,10,25.935661
-10,10,25.960594
-10,10,26.072257
-10,10,26.099185
-10,10,26.126113
-10,10,26.153041
-10,10,26.179969
-10,10,26.259799
-10,10,26.285725
-10,10,26.31066
-10,10,26.337588
-10,10,26.413382
-10,10,26.440311
-10,10,26.466239
-7,8,26.487188
-10,10,26.514076
-7,8,26.60189
-7,8,26.622825
-10,10,26.648725
-7,8,26.711588
-10,10,26.737519
-10,10,26.787386
-6,7,26.806334
-6,7,26.825284
-10,10,26.851216
-10,10,26.878149
-10,10,26.904073
-10,10,26.931003
-10,10,26.95693
-10,10,26.985814
-10,10,27.015734
-10,10,27.114514
-10,10,27.140441
-6,7,27.160388
-10,10,27.246655
-10,10,27.271588
-8,9,27.295524
-10,10,27.321455
-10,10,27.347385
-10,10,27.372318
-10,10,27.400244
-9,10,27.426184
-10,10,27.506958
-10,10,27.532889
-10,10,27.55882
-10,10,27.585748
-10,10,27.61866
-10,10,27.64858
-10,10,27.735347
-10,10,27.761278
-10,10,27.787209
-10,10,27.814137
-10,10,27.83907
-10,10,27.864003
-10,10,27.890932
-10,10,27.918857
-10,10,28.006623
-10,10,28.053497
-10,10,28.080425
-10,10,28.15323
-10,10,28.249971
-10,10,28.275902
-10,10,28.300836
-10,10,28.352697
-10,10,28.37866
-10,10,28.406587
-10,10,28.466393
-10,10,28.492323
-10,10,28.518254
-10,10,28.579367
-10,10,28.642204
-10,10,28.66914
-10,10,28.696073
-10,10,28.72199
-10,10,28.749876
-10,10,28.773857
-10,10,28.799784
-10,10,28.82667
-10,10,28.853645
-7,8,28.959315
-8,9,28.98329
-10,10,29.035148
-10,10,29.061079
-10,10,29.087022
-10,10,29.115927
-10,10,29.143866
-10,10,29.171803
-10,10,29.253571
-10,10,29.302438
-10,10,29.330363
-6,7,29.349315
-8,9,29.373254
-9,10,29.39818
-3,4,29.410149
-10,10,29.436083
-10,10,29.46201
-5,6,29.532839
-10,10,29.557755
-10,10,29.583694
-5,6,29.600639
-10,10,29.628561
-10,10,29.700335
-10,10,29.72826
-10,10,29.754191
-10,10,29.781157
-10,10,29.806107
-10,10,29.833019
-10,10,29.857951
-10,10,29.947715
-10,10,30.009509
-10,10,30.036483
-10,10,30.062406
-10,10,30.088344
-10,10,30.114275
-10,10,30.141203
-10,10,30.235937
-10,10,30.262865
-10,10,30.288799
-10,10,30.316746
-10,10,30.342626
-10,10,30.369575
-10,10,30.395514
-10,10,30.42344
-10,10,30.511206
-10,10,30.537135
-10,10,30.563071
-10,10,30.588956
-10,10,30.668816
-10,10,30.697752
-10,10,30.724674
-10,10,30.751576
-9,10,30.776537
-8,9,30.801428
-10,10,30.830351
-10,10,30.858276
-10,10,30.887198
-10,10,31.003922
-10,10,31.030853
-10,10,31.057779
-10,10,31.082717
-10,10,31.109604
-3,4,31.119618
-10,10,31.146546
-10,10,31.172475
-10,10,31.200402
-10,10,31.317085
-10,10,31.342021
-10,10,31.367951
-10,10,31.393882
-10,10,31.420814
-10,10,31.517514
-10,10,31.54349
-10,10,31.570413
-10,10,31.630247
-10,10,31.659135
-10,10,31.685103
-5,6,31.702053
-10,10,31.730942
-10,10,31.823734
-10,10,31.850661
-10,10,31.876596
-10,10,31.903521
-10,10,31.929453
-7,8,32.006206
-3,4,32.018205
-8,9,32.042119
-10,10,32.068081
-10,10,32.095019
-8,9,32.115953
-10,10,32.181775
-10,10,32.20886
-10,10,32.236732
-10,10,32.265652
-10,10,32.291591
-10,10,32.317522
-10,10,32.344447
-10,10,32.370386
-10,10,32.454157
-10,10,32.502031
-10,10,32.565859
-10,10,32.623662
-5,6,32.639657
-10,10,32.665592
-10,10,32.712423
-7,8,32.734369
-10,10,32.764321
-8,9,32.790256
-10,10,32.817192
-10,10,32.845114
-10,10,32.870999
-10,10,32.896969
-10,10,33.027582
-10,10,33.05451
-10,10,33.101424
-10,10,33.127354
-10,10,33.153286
-10,10,33.17822
-10,10,33.204152
-10,10,33.231079
-10,10,33.258965
-5,6,33.345768
-10,10,33.374699
-4,5,33.46345
-10,10,33.489396
-8,9,33.514327
-4,5,33.527281
-10,10,33.553213
-10,10,33.580745
-10,10,33.607663
-7,8,33.628605
-10,10,33.655536
-8,9,33.67748
-3,4,33.688447
-10,10,33.803143
-10,10,33.831068
-10,10,33.856997
-10,10,33.883926
-3,4,33.894896
-10,10,33.921814
-10,10,33.949753
-10,10,33.976676
-10,10,34.001611
-10,10,34.109313
-10,10,34.172149
-10,10,34.199089
-10,10,34.225021
-10,10,34.251938
-10,10,34.27883
-10,10,34.306756
-10,10,34.334719
-10,10,34.362653
-10,10,34.388579
-10,10,34.489302
-10,10,34.516243
-10,10,34.543169
-10,10,34.604992
-10,10,34.631925
-10,10,34.690775
-10,10,34.715705
-10,10,34.74263
-10,10,34.768561
-3,4,34.780529
-10,10,34.844365
-10,10,34.869288
-10,10,34.896219
-10,10,34.922148
-10,10,34.955099
-10,10,34.982037
-10,10,35.007962
-10,10,35.095726
-10,10,35.12167
-10,10,35.147589
-10,10,35.174515
-10,10,35.202447
-7,8,35.224385
-10,10,35.308159
-10,10,35.366005
-10,10,35.392931
-8,9,35.456766
-10,10,35.483703
-10,10,35.510578
-10,10,35.537549
-9,10,35.563479
-7,8,35.583424
-10,10,35.609357
-10,10,35.636281
-10,10,35.717061
-10,10,35.743006
-10,10,35.768926
-10,10,35.795851
-10,10,35.822778
-10,10,35.850709
-10,10,35.878635
-10,10,35.963409
-10,10,35.989339
-10,10,36.016271
-10,10,36.043193
-10,10,36.068126
-10,10,36.16933
-10,10,36.196258
-5,6,36.21122
-10,10,36.237161
-10,10,36.265076
-10,10,36.345867
-4,5,36.359825
-10,10,36.384759
-10,10,36.411687
-10,10,36.439609
-10,10,36.508856
-10,10,36.535783
-10,10,36.561714
-10,10,36.628535
-10,10,36.654466
-10,10,36.682391
-10,10,36.711314
-10,10,36.737245
-10,10,36.764173
-10,10,36.844962
-10,10,36.870887
-10,10,36.896818
-10,10,36.958655
-10,10,36.986578
-10,10,37.015501
-10,10,37.041451
-10,10,37.068359
-10,10,37.09429
-10,10,37.118226
-10,10,37.145154
-10,10,37.2399
-10,10,37.265831
-10,10,37.291762
-10,10,37.316695
-10,10,37.342626
-10,10,37.428396
-8,9,37.454327
-10,10,37.484248
-10,10,37.513171
-10,10,37.541097
-10,10,37.629905
-10,10,37.658783
-10,10,37.684752
-10,10,37.708655
-10,10,37.835308
-7,8,37.855255
-10,10,37.882183
-10,10,37.908134
-10,10,37.933047
-10,10,37.957999
-9,10,38.050732
-10,10,38.076663
-10,10,38.148471
-5,6,38.165426
-10,10,38.192354
-10,10,38.217287
-10,10,38.24222
-7,8,38.296077
-10,10,38.322048
-10,10,38.348958
-10,10,38.374869
-5,6,38.389866
-4,5,38.402793
-10,10,38.427766
-10,10,38.454709
-10,10,38.480623
-10,10,38.507551
-10,10,38.602257
-10,10,38.628188
-10,10,38.654158
-10,10,38.72493
-10,10,38.751857
-10,10,38.777788
-10,10,38.801724
-3,4,38.816684
-10,10,38.842617
-10,10,38.869562
-5,6,38.886498
-10,10,38.970324
-10,10,38.996268
-10,10,39.026176
-10,10,39.051149
-10,10,39.078074
-10,10,39.171838
-10,10,39.197754
-10,10,39.224641
-10,10,39.249611
-10,10,39.274509
-10,10,39.30048
-10,10,39.327407
-4,5,39.412173
-10,10,39.441098
-10,10,39.465043
-7,8,39.48698
-10,10,39.512911
-4,5,39.567724
-10,10,39.593691
-10,10,39.618627
-4,5,39.631586
-10,10,39.688434
-10,10,39.714349
-10,10,39.739305
-10,10,39.766234
-10,10,39.792164
-6,7,39.854996
-10,10,39.881923
-4,5,39.895846
-10,10,39.921817
-10,10,39.990625
-10,10,40.020544
-10,10,40.04844
-10,10,40.07836
-10,10,40.105287
-10,10,40.173136
-10,10,40.201069
-10,10,40.227994
-10,10,40.295778
-10,10,40.322706
-10,10,40.372571
-10,10,40.397546
-10,10,40.423479
-10,10,40.450405
-6,7,40.469329
-8,9,40.492292
-10,10,40.518234
-10,10,40.544152
-7,8,40.567051
-10,10,40.654854
-10,10,40.704724
-10,10,40.731652
-10,10,40.75854
-10,10,40.835336
-10,10,40.864297
-10,10,40.892223
-10,10,40.918148
-10,10,40.945074
-10,10,40.971001
-10,10,41.049799
-10,10,41.076721
-10,10,41.104614
-10,10,41.13258
-10,10,41.160505
-10,10,41.185437
-10,10,41.263229
-10,10,41.290151
-10,10,41.317081
-10,10,41.34202
-10,10,41.367956
-10,10,41.394878
-10,10,41.493613
-10,10,41.520541
-10,10,41.548463
-10,10,41.575396
-10,10,41.60332
-10,10,41.631237
-10,10,41.702056
-10,10,41.728977
-10,10,41.758893
-10,10,41.785822
-10,10,41.812753
-10,10,41.837694
-10,10,41.863624
-10,10,41.889555
-10,10,42.030171
-10,10,42.055072
-10,10,42.081044
-10,10,42.106977
-5,6,42.123888
-10,10,42.151834
-10,10,42.222663
-10,10,42.249553
-10,10,42.273529
-10,10,42.342422
-6,7,42.361255
-10,10,42.38918
-10,10,42.415111
-10,10,42.444033
-10,10,42.470961
-10,10,42.498887
-8,9,42.521825
-5,6,42.603641
-10,10,42.631571
-10,10,42.660488
-6,7,42.677447
-10,10,42.704376
-10,10,42.733291
-10,10,42.759232
-10,10,42.785156
-4,5,42.797128
-10,10,42.825071
-10,10,42.935718
-10,10,42.961649
-10,10,42.989574
-10,10,43.043466
-10,10,43.104301
-10,10,43.131233
-7,8,43.151192
-10,10,43.178109
-10,10,43.205038
-10,10,43.231967
-10,10,43.314742
-10,10,43.339638
-10,10,43.366606
-10,10,43.449375
-10,10,43.477301
-10,10,43.503236
-10,10,43.564039
-10,10,43.590964
-10,10,43.618891
-10,10,43.646817
-10,10,43.674744
-10,10,43.704662
-10,10,43.732587
-10,10,43.824342
-10,10,43.850305
-10,10,43.87724
-10,10,43.903171
-10,10,43.963011
-10,10,43.98894
-10,10,44.016872
-10,10,44.042797
-10,10,44.068721
-10,10,44.094618
-10,10,44.120599
-10,10,44.145523
-10,10,44.172449
-10,10,44.282147
-8,9,44.30409
-10,10,44.330029
-10,10,44.394817
-10,10,44.421744
-10,10,44.479629
-10,10,44.50556
-9,10,44.531484
-10,10,44.557399
-10,10,44.642156
-10,10,44.667127
-10,10,44.696046
-10,10,44.723951
-3,4,44.784805
-10,10,44.810703
-6,7,44.829692
-10,10,44.855626
-10,10,44.88255
-10,10,44.909474
-10,10,44.93541
-10,10,44.960344
-10,10,45.047155
-10,10,45.073086
-10,10,45.099016
-10,10,45.124947
-10,10,45.148887
-10,10,45.175811
-10,10,45.201742
-10,10,45.231669
-10,10,45.260576
