# {"t_start": 1601112995.458077, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.04392
-10,10,0.069852
-7,8,0.090796
-10,10,0.115729
-10,10,0.142659
-10,10,0.168588
-10,10,0.195517
-10,10,0.521169
-10,10,0.547105
-10,10,0.575979
-10,10,0.656801
-5,6,0.671773
-9,10,0.696694
-10,10,0.723584
-10,10,0.831301
-10,10,0.857274
-10,10,0.884201
-10,10,0.911131
-10,10,0.937014
-10,10,1.005868
-10,10,1.031798
-10,10,1.059726
-10,10,1.086655
-10,10,1.111596
-8,9,1.134523
-10,10,1.161452
-10,10,1.257213
-10,10,1.312049
-10,10,1.338979
-10,10,1.364908
-10,10,1.391836
-10,10,1.416769
-10,10,1.443697
-10,10,1.470587
-10,10,1.497554
-10,10,1.523477
-10,10,1.616233
-10,10,1.641177
-10,10,1.667099
-10,10,1.69303
-10,10,1.718961
-10,10,1.745903
-10,10,1.771816
-10,10,1.797755
-10,10,1.901477
-10,10,1.927406
-10,10,1.954329
-10,10,1.979265
-10,10,2.00719
-10,10,2.034118
-10,10,2.060049
-10,10,2.086938
-10,10,2.113905
-7,8,2.238561
-10,10,2.270448
-10,10,2.303364
-10,10,2.334277
-10,10,2.423084
-10,10,2.44802
-10,10,2.475945
-10,10,2.50087
-10,10,2.528795
-10,10,2.554687
-10,10,2.629397
-10,10,2.656325
-4,5,2.668293
-9,10,2.694224
-10,10,2.720155
-10,10,2.746085
-10,10,2.82388
-10,10,2.851802
-8,9,2.876735
-10,10,2.948544
-10,10,3.006388
-10,10,3.031322
-10,10,3.05825
-10,10,3.08418
-10,10,3.109114
-10,10,3.136042
-10,10,3.161973
-10,10,3.191893
-10,10,3.307621
-4,5,3.321548
-7,8,3.344492
-8,9,3.371414
-10,10,3.401334
-10,10,3.430257
-5,6,3.446268
-6,7,3.465213
-10,10,3.490096
-10,10,3.516026
-10,10,3.605786
-10,10,3.67362
-10,10,3.699535
-10,10,3.726463
-10,10,3.751396
-10,10,3.778324
-10,10,3.804255
-10,10,3.915956
-10,10,3.941887
-10,10,3.967818
-10,10,3.993748
-10,10,4.021673
-10,10,4.047604
-10,10,4.123525
-10,10,4.149456
-10,10,4.175382
-10,10,4.199318
-10,10,4.226262
-10,10,4.252176
-10,10,4.348922
-10,10,4.375862
-10,10,4.403758
-10,10,4.430691
-10,10,4.523413
-10,10,4.548389
-10,10,4.575309
-10,10,4.602236
-10,10,4.628175
-10,10,4.655109
-10,10,4.68004
-10,10,4.818664
-10,10,4.849574
-10,10,4.876507
-10,10,4.903396
-10,10,4.931345
-10,10,4.958281
-10,10,4.982225
-10,10,5.064999
-10,10,5.092071
-10,10,5.146893
-10,10,5.171866
-10,10,5.198794
-10,10,5.225724
-6,7,5.244631
-10,10,5.269605
-10,10,5.295535
-10,10,5.389308
-10,10,5.417215
-10,10,5.476053
-7,8,5.525917
-10,10,5.551854
-10,10,5.577742
-10,10,5.603717
-10,10,5.668539
-10,10,5.695464
-10,10,5.722395
-10,10,5.749322
-10,10,5.776209
-10,10,5.801142
-10,10,5.886914
-8,9,5.909903
-10,10,5.936802
-10,10,6.01858
-10,10,6.043534
-10,10,6.070423
-10,10,6.098392
-10,10,6.125316
-4,5,6.138294
-10,10,6.164219
-10,10,6.262951
-10,10,6.288879
-10,10,6.315908
-5,6,6.330868
-10,10,6.356798
-10,10,6.432591
-10,10,6.460521
-10,10,6.486413
-10,10,6.511387
-10,10,6.537315
-10,10,6.616105
-10,10,6.641038
-10,10,6.665977
-6,7,6.683926
-10,10,6.709855
-10,10,6.734789
-10,10,6.760718
-10,10,6.841508
-10,10,6.867404
-10,10,6.893323
-10,10,6.919295
-10,10,6.946222
-10,10,7.03299
-10,10,7.057925
-10,10,7.083858
-10,10,7.108787
-10,10,7.134725
-10,10,7.161646
-10,10,7.262377
-10,10,7.28731
-10,10,7.314239
-9,10,7.341166
