# {"t_start": 1601112995.4520924, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.049904
-10,10,0.074839
-10,10,0.101771
-10,10,0.127726
-10,10,0.154626
-10,10,0.180556
-10,10,0.205492
-10,10,0.526134
-10,10,0.55309
-10,10,0.580966
-10,10,0.661786
-10,10,0.687719
-10,10,0.713653
-10,10,0.739542
-10,10,0.836285
-10,10,0.862248
-6,7,0.882195
-3,4,0.892168
-8,9,0.916121
-7,8,0.937063
-10,10,1.011852
-10,10,1.037783
-10,10,1.064711
-10,10,1.0916
-10,10,1.116571
-10,10,1.143462
-10,10,1.169431
-10,10,1.262183
-10,10,1.317041
-10,10,1.344964
-10,10,1.370892
-10,10,1.396823
-10,10,1.422754
-10,10,1.449682
-10,10,1.475613
-10,10,1.502541
-10,10,1.529462
-10,10,1.622218
-10,10,1.647162
-10,10,1.673084
-10,10,1.698022
-10,10,1.724945
-10,10,1.750883
-10,10,1.776805
-10,10,1.80374
-10,10,1.907462
-10,10,1.932392
-10,10,1.95929
-10,10,1.985249
-10,10,2.013175
-10,10,2.039106
-10,10,2.066034
-10,10,2.091927
-10,10,2.118903
-10,10,2.251501
-10,10,2.282417
-10,10,2.315328
-10,10,2.347242
-10,10,2.427064
-10,10,2.454004
-10,10,2.480933
-10,10,2.506855
-10,10,2.533782
-10,10,2.559675
-10,10,2.635381
-10,10,2.661313
-10,10,2.687243
-10,10,2.712195
-10,10,2.737109
-10,10,2.828865
-7,8,2.851803
-10,10,2.879728
-10,10,2.954528
-10,10,3.011376
-10,10,3.037306
-10,10,3.063248
-10,10,3.089181
-10,10,3.114101
-10,10,3.141029
-10,10,3.16696
-10,10,3.19689
-7,8,3.306631
-10,10,3.334513
-10,10,3.363436
-10,10,3.393354
-10,10,3.423276
-10,10,3.452252
-10,10,3.478128
-10,10,3.504059
-10,10,3.61177
-10,10,3.678591
-10,10,3.704522
-10,10,3.73145
-10,10,3.757381
-10,10,3.784309
-10,10,3.81024
-10,10,3.920944
-10,10,3.946874
-10,10,3.972805
-10,10,3.998736
-10,10,4.026661
-10,10,4.052592
-6,7,4.120491
-10,10,4.146459
-10,10,4.171399
-10,10,4.198322
-10,10,4.224244
-10,10,4.250176
-6,7,4.268134
-10,10,4.354907
-10,10,4.381847
-10,10,4.408766
-10,10,4.435688
-10,10,4.527441
-9,10,4.553387
-10,10,4.581293
-10,10,4.608221
-7,8,4.629178
-10,10,4.655102
-10,10,4.680032
-10,10,4.705978
-10,10,4.823653
-10,10,4.855559
-10,10,4.881499
-10,10,4.909381
-10,10,4.93733
-10,10,4.963236
-10,10,4.987212
-10,10,5.069988
-10,10,5.097059
-10,10,5.151918
-8,9,5.174857
-10,10,5.201787
-7,8,5.222723
-10,10,5.249619
-10,10,5.274597
-10,10,5.300522
-10,10,5.395293
-10,10,5.4232
-10,10,5.481039
-10,10,5.53689
-10,10,5.563811
-10,10,5.589746
-10,10,5.615639
-10,10,5.674524
-10,10,5.701449
-10,10,5.72738
-10,10,5.7543
-10,10,5.781196
-10,10,5.80613
-10,10,5.891942
-10,10,5.917871
-10,10,5.945791
-10,10,6.02358
-10,10,6.048527
-10,10,6.076408
-10,10,6.104377
-10,10,6.131301
-10,10,6.158224
-10,10,6.183162
-10,10,6.267951
-10,10,6.293865
-10,10,6.320901
-10,10,6.347826
-10,10,6.373753
-10,10,6.438575
-10,10,6.46551
-10,10,6.491421
-10,10,6.516375
-10,10,6.5433
-10,10,6.621092
-10,10,6.646031
-10,10,6.670961
-10,10,6.697887
-10,10,6.723833
-10,10,6.749709
-7,8,6.840507
-10,10,6.867436
-10,10,6.893364
-10,10,6.919295
-10,10,6.946183
-10,10,7.037977
-10,10,7.063909
-10,10,7.088853
-10,10,7.113776
-9,10,7.140709
-10,10,7.166634
-10,10,7.267363
-10,10,7.293294
-10,10,7.319229
-10,10,7.346153
-10,10,7.373612
-10,10,7.39858
-10,10,7.423503
-10,10,7.449435
-7,8,7.552157
-6,7,7.571125
-10,10,7.598036
-9,10,7.623986
-8,9,7.645908
-4,5,7.659868
-10,10,7.686943
-6,7,7.749736
-10,10,7.773685
-3,4,7.785678
-10,10,7.812567
-10,10,7.836543
-10,10,7.863546
-10,10,7.889401
-10,10,7.915331
-10,10,7.941262
-10,10,7.96819
-10,10,8.063904
-10,10,8.090858
-10,10,8.116793
-10,10,8.143729
-10,10,8.22854
-10,10,8.254468
-10,10,8.280391
-10,10,8.306333
-10,10,8.332261
-10,10,8.358192
-10,10,8.385119
-10,10,8.412041
-10,10,8.504803
-8,9,8.529733
-4,5,8.543709
-10,10,8.570623
-10,10,8.63046
-10,10,8.687277
-10,10,8.71224
-10,10,8.738171
-10,10,8.81796
-10,10,8.84588
-10,10,8.906727
-10,10,8.931658
-10,10,8.956591
-10,10,8.982526
-10,10,9.010448
-9,10,9.084247
-10,10,9.111182
-10,10,9.137126
-10,10,9.244795
-10,10,9.26975
-10,10,9.295699
-10,10,9.322609
-10,10,9.349539
-10,10,9.413363
-10,10,9.440302
-10,10,9.466213
-10,10,9.492121
-10,10,9.517092
-10,10,9.543024
-10,10,9.570947
-10,10,9.598877
-10,10,9.707582
-10,10,9.734515
-10,10,9.761449
-10,10,9.787369
-10,10,9.813304
-10,10,9.838234
-10,10,9.864167
-10,10,9.968884
-10,10,9.993816
-10,10,10.019748
-10,10,10.045679
-10,10,10.072607
-10,10,10.147407
-10,10,10.173338
-10,10,10.201275
-10,10,10.228198
-10,10,10.302001
-10,10,10.328935
-10,10,10.355855
-10,10,10.382783
-10,10,10.408683
-10,10,10.435643
-10,10,10.460575
-10,10,10.487461
-10,10,10.512395
-10,10,10.619109
-10,10,10.644082
-10,10,10.67101
-10,10,10.696942
-10,10,10.72387
-10,10,10.750797
-5,6,10.82557
-4,5,10.839522
-4,5,10.85253
-10,10,10.878456
-5,6,10.894413
-10,10,10.920344
-10,10,10.946286
-9,10,10.972207
-10,10,11.049
-8,9,11.072936
-10,10,11.099863
-10,10,11.127795
-10,10,11.153721
-10,10,11.17862
-5,6,11.19461
-10,10,11.288365
-10,10,11.314284
-10,10,11.376125
-10,10,11.40106
-10,10,11.425993
-10,10,11.507779
-10,10,11.53566
-10,10,11.564631
-10,10,11.594543
-10,10,11.622427
-10,10,11.649394
-10,10,11.743136
-10,10,11.769074
-3,4,11.781004
-10,10,11.806972
-10,10,11.832904
-10,10,11.859833
-10,10,11.88676
-10,10,11.983503
-10,10,12.010431
-10,10,12.057265
-10,10,12.084193
-10,10,12.110179
-10,10,12.182967
-10,10,12.206908
-10,10,12.232835
-10,10,12.259763
-10,10,12.285698
-7,8,12.305638
-10,10,12.33157
-10,10,12.416345
-10,10,12.443272
-10,10,12.470199
-10,10,12.49513
-10,10,12.52007
-10,10,12.545998
-10,10,12.571928
-10,10,12.662684
-10,10,12.689607
-10,10,12.716501
-10,10,12.741434
-10,10,12.768398
-10,10,12.795321
-10,10,12.821262
-5,6,12.898018
-9,10,12.926981
-10,10,12.9529
-5,6,12.969856
-9,10,13.03568
-10,10,13.061579
-6,7,13.079573
-10,10,13.105506
-10,10,13.132475
-10,10,13.160394
-10,10,13.18533
-10,10,13.21226
-10,10,13.321966
-10,10,13.3479
-10,10,13.373821
-10,10,13.399755
-10,10,13.424673
-10,10,13.45162
-10,10,13.534406
-10,10,13.559332
-10,10,13.58526
-10,10,13.612187
-10,10,13.640112
-10,10,13.732867
-8,9,13.755807
-10,10,13.781737
-8,9,13.805634
-8,9,13.82961
-3,4,13.841537
-10,10,13.868501
-7,8,13.889464
-10,10,13.917374
-10,10,14.053011
-10,10,14.077947
-10,10,14.104877
-10,10,14.130805
-10,10,14.15574
-10,10,14.180671
-10,10,14.209597
-10,10,14.236522
-7,8,14.334254
-8,9,14.35721
-4,5,14.372155
-10,10,14.398051
-8,9,14.421028
-8,9,14.445964
-10,10,14.471896
-10,10,14.497814
-10,10,14.523715
-10,10,14.548686
-10,10,14.658353
-10,10,14.684315
-10,10,14.711249
-10,10,14.738184
-10,10,14.76511
-10,10,14.792036
-10,10,14.870785
-10,10,14.900748
-10,10,14.925679
-10,10,14.951609
-10,10,14.978536
-10,10,15.005455
-10,10,15.032386
-10,10,15.058357
-10,10,15.084256
-10,10,15.187972
-10,10,15.212909
-10,10,15.240795
-10,10,15.325569
-10,10,15.352497
-10,10,15.379424
-10,10,15.405355
-10,10,15.433281
-10,10,15.458216
-9,10,15.553001
-10,10,15.578934
-6,7,15.604862
-10,10,15.643718
-10,10,15.680619
-7,8,15.708544
-10,10,15.832213
-10,10,15.869979
-10,10,15.906888
-10,10,15.931814
-10,10,15.957753
-10,10,15.982731
-10,10,16.062511
-4,5,16.074432
-10,10,16.101392
-10,10,16.128313
-5,6,16.143279
-10,10,16.169213
-10,10,16.197142
-10,10,16.223072
-3,4,16.234037
-10,10,16.341727
-10,10,16.366691
-10,10,16.393638
-10,10,16.420546
-10,10,16.447473
-8,9,16.47141
-10,10,16.4983
-10,10,16.523275
-10,10,16.549206
-6,7,16.652898
-8,9,16.675824
-10,10,16.701755
-5,6,16.718709
-9,10,16.743643
-10,10,16.818541
-6,7,16.836492
-10,10,16.862422
-10,10,16.888365
-7,8,16.914283
-5,6,16.931201
-10,10,17.006001
-10,10,17.032966
-10,10,17.103776
-10,10,17.165615
-10,10,17.192544
-10,10,17.218469
-10,10,17.243403
-10,10,17.268338
-10,10,17.295228
-8,9,17.320198
-10,10,17.41295
-10,10,17.440845
-10,10,17.467804
-10,10,17.493695
-3,4,17.538614
-10,10,17.566537
-10,10,17.608416
-10,10,17.640339
-10,10,17.706167
-10,10,17.733093
-10,10,17.759034
-10,10,17.784954
-10,10,17.811881
-10,10,17.838811
-10,10,17.924544
-10,10,17.952468
-10,10,17.980394
-10,10,18.044261
-10,10,18.070192
-10,10,18.098117
-10,10,18.125061
-10,10,18.151972
-10,10,18.228729
-6,7,18.248713
-10,10,18.27365
-10,10,18.298583
-10,10,18.325514
-10,10,18.353436
-10,10,18.384349
-10,10,18.41128
-10,10,18.437208
-10,10,18.528956
-10,10,18.572896
-8,9,18.597824
-3,4,18.60776
-10,10,18.634757
-5,6,18.650663
-10,10,18.677612
-7,8,18.734458
-10,10,18.76039
-8,9,18.786283
-5,6,18.80224
-10,10,18.830166
-10,10,18.896989
-10,10,18.923934
-10,10,18.951878
-10,10,18.978806
-10,10,19.07152
-10,10,19.099445
-10,10,19.128368
-10,10,19.156293
-10,10,19.183221
-10,10,19.210149
-10,10,19.237077
-10,10,19.265003
-10,10,19.374708
-10,10,19.401686
-10,10,19.430598
-10,10,19.456529
-10,10,19.482469
-10,10,19.510385
-10,10,19.536314
-10,10,19.563246
-10,10,19.589133
-10,10,19.70886
-10,10,19.737826
-10,10,19.765749
-10,10,19.791679
-10,10,19.819617
-10,10,19.846533
-10,10,19.873421
-10,10,19.899402
-10,10,19.928276
-10,10,20.044001
-10,10,20.070941
-10,10,20.097822
-10,10,20.163684
-10,10,20.190579
-10,10,20.216519
-10,10,20.243489
-10,10,20.2704
-10,10,20.343202
-10,10,20.368138
-10,10,20.395066
-10,10,20.421963
-10,10,20.449923
-10,10,20.477845
-10,10,20.503776
-10,10,20.530703
-10,10,20.620461
-10,10,20.646401
-10,10,20.673325
-10,10,20.699252
-10,10,20.726181
-10,10,20.816946
-10,10,20.843862
-10,10,20.870794
-10,10,20.895727
-10,10,20.921658
-10,10,20.950569
-10,10,20.979493
-10,10,21.007389
-10,10,21.111168
-10,10,21.139076
-10,10,21.166963
-10,10,21.193891
-10,10,21.221817
-7,8,21.243759
-7,8,21.264742
-10,10,21.343525
-7,8,21.363488
-10,10,21.39037
-10,10,21.416335
-4,5,21.468486
-10,10,21.495414
-7,8,21.516358
-7,8,21.537302
-10,10,21.56423
-10,10,21.590161
-4,5,21.603126
-10,10,21.629056
-6,7,21.648006
-10,10,21.671941
-10,10,21.698869
-10,10,21.801595
-10,10,21.828523
-10,10,21.854454
-10,10,21.881381
-10,10,21.90831
-10,10,21.933242
-10,10,21.959174
-10,10,21.987098
-10,10,22.091819
-10,10,22.116752
-10,10,22.145676
-10,10,22.172602
-10,10,22.199531
