# {"t_start": 1601112995.4700727, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.033916
-10,10,0.058814
-10,10,0.084788
-10,10,0.111714
-10,10,0.138645
-10,10,0.164573
-10,10,0.189504
-7,8,0.502196
-10,10,0.531122
-10,10,0.558006
-10,10,0.645801
-10,10,0.671733
-10,10,0.698666
-10,10,0.724554
-4,5,0.805385
-10,10,0.834311
-5,6,0.851263
-10,10,0.875156
-10,10,0.902128
-10,10,0.929007
-10,10,0.995871
-10,10,1.021797
-10,10,1.048725
-10,10,1.075622
-10,10,1.100588
-10,10,1.12652
-10,10,1.15345
-10,10,1.246197
-10,10,1.301051
-10,10,1.328975
-10,10,1.354869
-10,10,1.38084
-10,10,1.406769
-9,10,1.433697
-10,10,1.459636
-5,6,1.474602
-10,10,1.500519
-10,10,1.606232
-10,10,1.631178
-10,10,1.657101
-10,10,1.682032
-10,10,1.70896
-10,10,1.73489
-10,10,1.761832
-10,10,1.787752
-10,10,1.891434
-10,10,1.916406
-10,10,1.944332
-10,10,1.969269
-10,10,1.997191
-10,10,2.02312
-10,10,2.04905
-10,10,2.075972
-10,10,2.103903
-10,10,2.235545
-10,10,2.266431
-10,10,2.299343
-10,10,2.330259
-10,10,2.413092
-10,10,2.438023
-7,8,2.458962
-10,10,2.483887
-10,10,2.511823
-5,6,2.526773
-10,10,2.618398
-10,10,2.645326
-10,10,2.671257
-10,10,2.697188
-10,10,2.721123
-10,10,2.812879
-10,10,2.840804
-10,10,2.868729
-10,10,2.938542
-10,10,2.99539
-10,10,3.021321
-10,10,3.047251
-10,10,3.074193
-10,10,3.099113
-10,10,3.126041
-10,10,3.150974
-10,10,3.180896
-10,10,3.297623
-10,10,3.325509
-10,10,3.354432
-10,10,3.385349
-10,10,3.413275
-10,10,3.440245
-10,10,3.466131
-10,10,3.492062
-10,10,3.594787
-10,10,3.663603
-10,10,3.688537
-10,10,3.715465
-10,10,3.741395
-10,10,3.767326
-10,10,3.794254
-10,10,3.904958
-10,10,3.930889
-6,7,3.948841
-10,10,3.973774
-10,10,4.000702
-10,10,4.02763
-10,10,4.112522
-10,10,4.138453
-10,10,4.164384
-10,10,4.189317
-10,10,4.215251
-10,10,4.242178
-10,10,4.338917
-10,10,4.36584
-10,10,4.392778
-10,10,4.419661
-10,10,4.512457
-10,10,4.537385
-10,10,4.565272
-10,10,4.592237
-10,10,4.61817
-10,10,4.644103
-10,10,4.670028
-10,10,4.807671
-10,10,4.838576
-10,10,4.865508
-10,10,4.893439
-10,10,4.921346
-10,10,4.948284
-10,10,4.973181
-10,10,5.055002
-10,10,5.081081
-10,10,5.136901
-10,10,5.160868
-10,10,5.187795
-10,10,5.214724
-10,10,5.240659
-10,10,5.267581
-10,10,5.293502
-10,10,5.379283
-10,10,5.407208
-10,10,5.465054
-10,10,5.52091
-10,10,5.546827
-10,10,5.573759
-10,10,5.599699
-10,10,5.658536
-10,10,5.68447
-5,6,5.701413
-10,10,5.727313
-10,10,5.752285
-6,7,5.771194
-10,10,5.800117
-10,10,5.875957
-6,7,5.893909
-3,4,5.904878
-6,7,5.922829
-10,10,6.00856
-10,10,6.032536
-10,10,6.059468
-10,10,6.088387
-5,6,6.104304
-10,10,6.130253
-10,10,6.155211
-10,10,6.251949
-10,10,6.27788
-10,10,6.304912
-10,10,6.33084
-10,10,6.357729
-10,10,6.421594
-10,10,6.449526
-10,10,6.475464
-8,9,6.497398
-10,10,6.523325
-8,9,6.602115
-10,10,6.626051
-6,7,6.645001
-10,10,6.670932
-10,10,6.695863
-10,10,6.721794
-10,10,6.746727
-10,10,6.830503
-10,10,6.856396
-10,10,6.883358
-10,10,6.908295
-10,10,6.935226
-10,10,7.021991
-10,10,7.047926
-10,10,7.073815
-10,10,7.097789
-10,10,7.124679
-10,10,7.150647
-10,10,7.251378
-10,10,7.277309
-10,10,7.303243
-10,10,7.330168
-10,10,7.357609
-10,10,7.382579
-10,10,7.408513
-10,10,7.433453
-10,10,7.543148
-10,10,7.568045
-10,10,7.594016
-10,10,7.619949
-10,10,7.647021
-10,10,7.740729
-10,10,7.766701
-10,10,7.791634
-10,10,7.816573
-10,10,7.843495
-10,10,7.869429
-10,10,7.896355
-10,10,7.92229
-10,10,7.948176
-10,10,8.048907
-10,10,8.074915
-6,7,8.091832
-10,10,8.11876
-10,10,8.14469
-10,10,8.212552
-10,10,8.238483
-10,10,8.264414
-10,10,8.290345
-10,10,8.315278
-10,10,8.342206
-10,10,8.369139
-10,10,8.395058
-10,10,8.48882
-10,10,8.51674
-7,8,8.536689
-10,10,8.614488
-10,10,8.671334
-10,10,8.697218
-10,10,8.7222
-7,8,8.795953
-10,10,8.822881
-10,10,8.890701
-10,10,8.916633
-10,10,8.94057
-6,7,8.95856
-10,10,8.985475
-10,10,9.068273
-10,10,9.095197
-10,10,9.121125
-7,8,9.22086
-5,6,9.23781
-10,10,9.264738
-10,10,9.289668
-10,10,9.316597
-10,10,9.397385
-10,10,9.424273
-10,10,9.450227
-10,10,9.476177
-10,10,9.501108
-10,10,9.527034
-10,10,9.554963
-10,10,9.58189
-10,10,9.692592
-10,10,9.717532
-10,10,9.744455
-10,10,9.770387
-10,10,9.797313
-10,10,9.822248
-10,10,9.848178
-10,10,9.951901
-10,10,9.977832
-10,10,10.003763
-10,10,10.029695
-10,10,10.055624
-10,10,10.13238
-10,10,10.157313
-10,10,10.185281
-10,10,10.211211
-10,10,10.285974
-10,10,10.312955
-10,10,10.339872
-10,10,10.366796
-10,10,10.392726
-10,10,10.418659
-10,10,10.444587
-10,10,10.470478
-10,10,10.496409
-7,8,10.597192
-10,10,10.622118
-5,6,10.639068
-10,10,10.664007
-10,10,10.690891
-10,10,10.71686
-10,10,10.743793
-10,10,10.818592
-10,10,10.845516
-10,10,10.872445
-10,10,10.899372
-10,10,10.925262
-10,10,10.950236
-10,10,11.032025
-10,10,11.058947
-10,10,11.086876
-5,6,11.102797
-10,10,11.127761
-10,10,11.153702
-10,10,11.18062
-10,10,11.272377
-10,10,11.298305
-10,10,11.359142
-10,10,11.385034
-10,10,11.410006
-10,10,11.492746
-10,10,11.519674
-10,10,11.548634
-10,10,11.57756
-5,6,11.59351
-10,10,11.621446
-10,10,11.647373
-10,10,11.727151
-10,10,11.753089
-10,10,11.77902
-10,10,11.805948
-10,10,11.831881
-10,10,11.859803
-10,10,11.886693
-10,10,11.967515
-10,10,11.994443
-10,10,12.041277
-10,10,12.069227
-10,10,12.094177
-4,5,12.152025
-9,10,12.177953
-10,10,12.203876
-10,10,12.230805
-10,10,12.255706
-10,10,12.280679
-5,6,12.29863
-10,10,12.400363
-10,10,12.427286
-10,10,12.453216
-10,10,12.479108
-10,10,12.504081
-10,10,12.530011
-10,10,12.555951
-8,9,12.642711
-10,10,12.669598
-10,10,12.695569
-10,10,12.7215
-10,10,12.749427
-10,10,12.775351
-10,10,12.801285
-10,10,12.893999
-10,10,12.921947
-10,10,12.948885
-10,10,13.019703
-10,10,13.045596
-10,10,13.071563
-10,10,13.097499
-10,10,13.123429
-6,7,13.143411
-7,8,13.163358
-10,10,13.190252
-10,10,13.30599
-10,10,13.331911
-10,10,13.357845
-10,10,13.383734
-10,10,13.40871
-10,10,13.435634
-10,10,13.517415
-10,10,13.544319
-10,10,13.569273
-10,10,13.596204
-10,10,13.624091
-10,10,13.716885
-10,10,13.742813
-10,10,13.767751
-10,10,13.795664
-4,5,13.8076
-10,10,13.834564
-10,10,13.862489
-10,10,13.890379
-10,10,13.91631
-7,8,14.030046
-10,10,14.055976
-10,10,14.082903
-10,10,14.108837
-10,10,14.134761
-10,10,14.158707
-10,10,14.186627
-10,10,14.214555
-10,10,14.324255
-10,10,14.349153
-10,10,14.375122
-10,10,14.402051
-10,10,14.428978
-10,10,14.454908
-10,10,14.48183
-10,10,14.507728
-10,10,14.5327
-10,10,14.642403
-10,10,14.668299
-10,10,14.695261
-10,10,14.722193
-10,10,14.749125
-10,10,14.775053
-10,10,14.854802
-10,10,14.883762
-10,10,14.909694
-10,10,14.935623
-10,10,14.961561
-10,10,14.989468
-10,10,15.0164
-10,10,15.043296
-10,10,15.068271
-10,10,15.170993
-9,10,15.197882
-3,4,15.209885
-10,10,15.236778
-10,10,15.309582
-10,10,15.336511
-10,10,15.362441
-10,10,15.389369
-10,10,15.41634
-10,10,15.442232
-10,10,15.536979
-10,10,15.562951
-10,10,15.603796
-10,10,15.638702
-10,10,15.675604
-10,10,15.709512
-10,10,15.816227
-10,10,15.854991
-10,10,15.890895
-10,10,15.915828
-10,10,15.940761
-10,10,15.966734
-10,10,16.045524
-4,5,16.057492
-7,8,16.07943
-5,6,16.093394
-10,10,16.120321
-10,10,16.147249
-9,10,16.173141
-10,10,16.200097
-10,10,16.228029
-10,10,16.325773
-10,10,16.350705
-10,10,16.377636
-10,10,16.403563
-10,10,16.43149
-10,10,16.458416
-10,10,16.484343
-10,10,16.510254
-10,10,16.535211
-10,10,16.644878
-10,10,16.670809
-10,10,16.697737
-5,6,16.711699
-9,10,16.73763
-10,10,16.802554
-10,10,16.829482
-10,10,16.855419
-10,10,16.880345
-10,10,16.91126
-10,10,16.990015
-10,10,17.01698
-10,10,17.087791
-4,5,17.098762
-10,10,17.149626
-10,10,17.176553
-10,10,17.202487
-10,10,17.227419
-10,10,17.252351
-10,10,17.279275
-10,10,17.307169
-10,10,17.396963
-10,10,17.423892
-10,10,17.450822
-10,10,17.477748
-10,10,17.536591
-10,10,17.571459
-10,10,17.613383
-10,10,17.690143
-10,10,17.717108
-10,10,17.743039
-10,10,17.768972
-10,10,17.795899
-10,10,17.824826
-10,10,17.908603
-10,10,17.936483
-10,10,17.964408
-10,10,18.028275
-10,10,18.054206
-10,10,18.082133
-10,10,18.10906
-10,10,18.134991
-10,10,18.212783
-10,10,18.239672
-10,10,18.265642
-10,10,18.290575
-10,10,18.316472
-10,10,18.350377
-10,10,18.376341
-10,10,18.402277
-10,10,18.512969
-10,10,18.556866
-10,10,18.583834
-10,10,18.61076
-10,10,18.637686
-10,10,18.724464
-10,10,18.749393
-10,10,18.777278
-10,10,18.805203
-10,10,18.881035
-6,7,18.899987
-10,10,18.927913
-10,10,18.953849
-10,10,18.980773
-10,10,19.056532
-10,10,19.083459
-7,8,19.105401
-8,9,19.12834
-4,5,19.144297
-3,4,19.15427
-8,9,19.179203
-10,10,19.207129
-10,10,19.235054
-6,7,19.254003
-10,10,19.358763
-10,10,19.385696
-10,10,19.414613
-10,10,19.440542
-10,10,19.466479
-10,10,19.493401
-10,10,19.520328
-10,10,19.547259
-10,10,19.574151
-6,7,19.684897
-7,8,19.706791
-10,10,19.734809
-10,10,19.762728
-9,10,19.788657
-7,8,19.810601
-4,5,19.824523
-10,10,19.849497
-10,10,19.876438
-5,6,19.895373
-10,10,20.028032
-10,10,20.054955
-10,10,20.081837
-10,10,20.147699
-10,10,20.174627
-10,10,20.200559
-10,10,20.227493
-10,10,20.255413
-10,10,20.327218
-10,10,20.353146
-10,10,20.37908
-10,10,20.404973
-10,10,20.433933
-10,10,20.461859
-10,10,20.487793
-10,10,20.514722
-10,10,20.605483
-10,10,20.631382
-10,10,20.657337
