# {"t_start": 1601112995.466084, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.036908
-10,10,0.062803
-10,10,0.088777
-4,5,0.100741
-10,10,0.126672
-10,10,0.1536
-7,8,0.175541
-10,10,0.513162
-7,8,0.534111
-10,10,0.560992
-10,10,0.648793
-10,10,0.674726
-10,10,0.701653
-10,10,0.727545
-8,9,0.819351
-5,6,0.8373
-10,10,0.864227
-8,9,0.887165
-10,10,0.913048
-10,10,0.998859
-10,10,1.024789
-10,10,1.051718
-10,10,1.079611
-10,10,1.103589
-10,10,1.130508
-10,10,1.156448
-10,10,1.250186
-10,10,1.30504
-10,10,1.331968
-10,10,1.357898
-10,10,1.383829
-10,10,1.40976
-10,10,1.436687
-10,10,1.463625
-10,10,1.489547
-10,10,1.516477
-8,9,1.605257
-5,6,1.62119
-9,10,1.648122
-6,7,1.666036
-10,10,1.69001
-10,10,1.716938
-6,7,1.734887
-10,10,1.759823
-5,6,1.776777
-10,10,1.804703
-10,10,1.89447
-10,10,1.919399
-10,10,1.947322
-10,10,1.972257
-10,10,2.000182
-10,10,2.026111
-10,10,2.053039
-10,10,2.079961
-10,10,2.1069
-10,10,2.238532
-10,10,2.269423
-10,10,2.303332
-10,10,2.334247
-10,10,2.416076
-10,10,2.441011
-10,10,2.467938
-10,10,2.493862
-10,10,2.520788
-10,10,2.547713
-10,10,2.622387
-10,10,2.649315
-10,10,2.674248
-10,10,2.700183
-10,10,2.725112
-10,10,2.816867
-10,10,2.844792
-10,10,2.87172
-10,10,2.941533
-10,10,2.998381
-10,10,3.024312
-10,10,3.05124
-10,10,3.077171
-10,10,3.102107
-10,10,3.129032
-10,10,3.154963
-10,10,3.184885
-10,10,3.300619
-10,10,3.328502
-10,10,3.357424
-10,10,3.388341
-10,10,3.417263
-10,10,3.444234
-10,10,3.47012
-10,10,3.496051
-6,7,3.590797
-8,9,3.614734
-10,10,3.666595
-10,10,3.692525
-10,10,3.718456
-10,10,3.744386
-10,10,3.771315
-10,10,3.797245
-10,10,3.907949
-10,10,3.934877
-10,10,3.95981
-10,10,3.986739
-10,10,4.014675
-10,10,4.039597
-10,10,4.11651
-10,10,4.142442
-6,7,4.158398
-10,10,4.185327
-10,10,4.211262
-10,10,4.237185
-10,10,4.264078
