# {"t_start": 1601112995.4540865, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.04791
-10,10,0.072845
-10,10,0.099777
-10,10,0.125732
-10,10,0.152632
-10,10,0.178561
-10,10,0.203498
-10,10,0.52414
-5,6,0.541074
-10,10,0.567053
-10,10,0.598918
-6,7,0.649784
-5,6,0.667775
-10,10,0.693706
-6,7,0.711659
-10,10,0.738544
-10,10,0.835292
-10,10,0.861264
-10,10,0.887182
-10,10,0.914127
-10,10,0.941005
-10,10,1.009858
-10,10,1.035789
-10,10,1.063716
-10,10,1.089606
-10,10,1.114577
-10,10,1.141468
-10,10,1.167437
-10,10,1.260189
-10,10,1.316039
-10,10,1.342969
-8,9,1.364909
-10,10,1.391837
-10,10,1.418764
-9,10,1.444696
-10,10,1.471625
-10,10,1.498557
-7,8,1.517503
-7,8,1.614261
-10,10,1.640181
-10,10,1.666108
-10,10,1.691014
-10,10,1.717965
-10,10,1.742907
-8,9,1.765837
-10,10,1.793725
-10,10,1.905468
-10,10,1.930398
-10,10,1.958319
-10,10,1.983255
-10,10,2.011181
-10,10,2.037112
-10,10,2.064039
-10,10,2.089932
-10,10,2.117896
-10,10,2.249507
-10,10,2.280423
-10,10,2.314332
-10,10,2.345248
-10,10,2.426081
-10,10,2.45201
-10,10,2.478939
-10,10,2.504861
-10,10,2.531788
-10,10,2.557681
-10,10,2.633387
-10,10,2.660315
-10,10,2.685249
-10,10,2.710201
-10,10,2.736112
-10,10,2.82787
-10,10,2.854795
-10,10,2.882721
-10,10,2.952534
-10,10,3.009382
-10,10,3.035312
-10,10,3.061254
-10,10,3.087187
-10,10,3.113104
-10,10,3.140032
-10,10,3.165963
-10,10,3.194896
-10,10,3.311611
-9,10,3.338504
-10,10,3.368432
-8,9,3.396349
-10,10,3.424274
-6,7,3.445249
-7,8,3.466195
-10,10,3.4911
-5,6,3.507051
-10,10,3.609776
-10,10,3.67761
-10,10,3.702528
-10,10,3.729456
-10,10,3.755387
-10,10,3.782315
-10,10,3.808246
-10,10,3.91895
-10,10,3.94488
-10,10,3.970811
-10,10,3.997738
-10,10,4.025664
-10,10,4.050597
-10,10,4.127516
-10,10,4.153446
-10,10,4.178375
-10,10,4.203309
-10,10,4.230252
-10,10,4.256166
-10,10,4.352912
-10,10,4.379853
-10,10,4.407748
-10,10,4.433693
-10,10,4.526458
-10,10,4.551393
-10,10,4.579299
-10,10,4.606226
-10,10,4.632165
-2,3,4.640139
-10,10,4.666071
-10,10,4.692001
-10,10,4.821659
-10,10,4.853565
-10,10,4.880497
-10,10,4.907387
-10,10,4.935335
-10,10,4.961242
-10,10,4.986215
-10,10,5.067993
-10,10,5.096061
-7,8,5.143941
-10,10,5.170869
-10,10,5.196799
-10,10,5.223687
-5,6,5.239685
-10,10,5.265637
-10,10,5.292544
-10,10,5.393299
-10,10,5.421206
-10,10,5.479045
-10,10,5.534895
-10,10,5.561816
-8,9,5.584771
-10,10,5.610693
-10,10,5.672529
-10,10,5.699455
-10,10,5.725386
-10,10,5.752306
-10,10,5.779202
-10,10,5.804136
-10,10,5.889947
-10,10,5.915877
-10,10,5.944805
-10,10,6.021585
-10,10,6.046533
-5,6,6.064464
-9,10,6.091413
-10,10,6.119326
-10,10,6.145224
-7,8,6.166208
-10,10,6.265957
-10,10,6.292869
-10,10,6.318907
-10,10,6.345832
-10,10,6.371759
-10,10,6.436581
-10,10,6.463516
-10,10,6.489426
-10,10,6.514381
-10,10,6.541306
-10,10,6.620095
-10,10,6.644037
-10,10,6.668967
-10,10,6.695893
-10,10,6.721839
-10,10,6.747715
-10,10,6.844499
-10,10,6.870405
-10,10,6.897314
-10,10,6.922278
-10,10,6.949213
-10,10,7.035983
-10,10,7.061915
-10,10,7.087848
-10,10,7.111782
-10,10,7.138715
-10,10,7.165637
-10,10,7.265369
-6,7,7.28432
-10,10,7.310211
-4,5,7.323217
-9,10,7.350143
-10,10,7.377624
-10,10,7.402559
-4,5,7.415536
-10,10,7.440418
-10,10,7.467384
-10,10,7.557151
-10,10,7.582038
-10,10,7.608009
-10,10,7.633941
-10,10,7.661012
-10,10,7.754769
-10,10,7.78071
-8,9,7.803632
-7,8,7.823538
-10,10,7.850512
-8,9,7.874442
-6,7,7.892411
-3,4,7.903325
-3,4,7.913337
-10,10,7.939268
-5,6,7.954233
-10,10,8.062938
-10,10,8.088864
-10,10,8.114799
-4,5,8.129765
-4,5,8.141735
-10,10,8.226546
-10,10,8.252474
-10,10,8.279408
-10,10,8.304339
-10,10,8.330266
-10,10,8.356198
-10,10,8.383125
-10,10,8.410047
-10,10,8.502809
-10,10,8.53073
-10,10,8.558615
-10,10,8.628465
-10,10,8.685282
-10,10,8.710246
-10,10,8.736177
-4,5,8.801008
-10,10,8.828933
-10,10,8.855869
-10,10,8.904732
-10,10,8.929664
-10,10,8.954597
-10,10,8.980532
-10,10,9.008454
-10,10,9.083284
-10,10,9.109188
-4,5,9.123142
-10,10,9.150034
-6,7,9.233851
-10,10,9.259772
-10,10,9.286713
-5,6,9.301666
-5,6,9.317629
-5,6,9.333581
-4,5,9.399399
-7,8,9.419346
-10,10,9.446275
-10,10,9.473171
-10,10,9.499151
-7,8,9.518105
-10,10,9.545018
-10,10,9.572943
-10,10,9.599871
-10,10,9.706547
-10,10,9.732521
-10,10,9.759454
-10,10,9.785375
-10,10,9.81131
-10,10,9.83624
-10,10,9.862173
-10,10,9.96689
-10,10,9.991822
-10,10,10.017754
-10,10,10.043684
-10,10,10.070613
-10,10,10.146414
-10,10,10.171344
-10,10,10.20027
-10,10,10.226204
-10,10,10.300007
-10,10,10.326941
-10,10,10.353861
-10,10,10.380789
-10,10,10.406688
-10,10,10.433649
-10,10,10.458581
-10,10,10.485467
-10,10,10.510401
-10,10,10.617115
-10,10,10.643089
-10,10,10.669016
-8,9,10.692956
-6,7,10.710904
-10,10,10.736837
-10,10,10.833578
-10,10,10.860504
-10,10,10.886435
-10,10,10.913363
-10,10,10.938297
-10,10,10.965186
-6,7,11.039027
-10,10,11.065973
-4,5,11.07892
-10,10,11.106808
-6,7,11.125801
-10,10,11.151726
-8,9,11.174626
-8,9,11.198619
-10,10,11.286371
-10,10,11.313291
-10,10,11.374131
-10,10,11.399066
-10,10,11.424996
-10,10,11.506737
-10,10,11.533666
-10,10,11.562637
-10,10,11.592549
-10,10,11.620433
-10,10,11.6474
-10,10,11.741142
-10,10,11.768082
-10,10,11.79401
-10,10,11.81994
-10,10,11.846877
-10,10,11.874797
-10,10,11.899686
-7,8,11.97652
-5,6,11.993476
-10,10,12.05527
-10,10,12.082199
-8,9,12.105176
-10,10,12.180973
-10,10,12.204914
-10,10,12.231838
-10,10,12.257768
-7,8,12.278716
-10,10,12.304648
-10,10,12.329576
-10,10,12.414351
-10,10,12.441278
-10,10,12.468205
-10,10,12.493136
-10,10,12.518075
-10,10,12.544003
-10,10,12.569933
-10,10,12.66069
-10,10,12.688608
-10,10,12.714507
-10,10,12.74044
-10,10,12.766404
-10,10,12.793327
-10,10,12.819268
-10,10,12.907032
-10,10,12.935939
-10,10,12.961888
-10,10,13.033685
-10,10,13.059585
-10,10,13.085516
-10,10,13.111485
-10,10,13.137464
-10,10,13.165381
-10,10,13.193309
-10,10,13.219234
-10,10,13.319972
-10,10,13.345906
-10,10,13.371827
-10,10,13.39776
-10,10,13.423709
-10,10,13.449626
-7,8,13.52741
-8,9,13.549361
-5,6,13.566317
-10,10,13.593239
-7,8,13.614147
-3,4,13.625146
-3,4,13.635126
-10,10,13.730873
-10,10,13.756804
-10,10,13.782736
-10,10,13.809658
-10,10,13.835556
-10,10,13.863515
-10,10,13.890444
-10,10,13.917369
-10,10,14.051017
-10,10,14.076951
-5,6,14.092896
-10,10,14.118798
-10,10,14.142778
-10,10,14.168702
-10,10,14.196623
-9,10,14.224555
-10,10,14.250478
-10,10,14.338212
-10,10,14.363198
-10,10,14.390072
-10,10,14.416042
-10,10,14.44397
-10,10,14.469902
-10,10,14.49582
-10,10,14.52172
-10,10,14.547692
-6,7,14.648381
-10,10,14.673315
-9,10,14.70028
-10,10,14.7292
-8,9,14.75314
-10,10,14.780068
-10,10,14.868791
-10,10,14.898753
-10,10,14.923685
-10,10,14.950616
-10,10,14.976542
-10,10,15.003461
-6,7,15.02242
-10,10,15.048353
-10,10,15.075279
-7,8,15.180989
-10,10,15.205891
-10,10,15.233815
-10,10,15.26174
-3,4,15.309612
-10,10,15.334545
-10,10,15.361473
-10,10,15.387404
-10,10,15.414332
-10,10,15.441303
-5,6,15.456222
-10,10,15.551007
-10,10,15.57694
-10,10,15.61679
-10,10,15.652694
-10,10,15.689595
-10,10,15.723505
-10,10,15.830219
-10,10,15.868982
-10,10,15.904894
-10,10,15.930817
-10,10,15.955759
-10,10,15.980737
-10,10,16.060517
-10,10,16.085406
-10,10,16.112368
-10,10,16.138313
-10,10,16.164236
-10,10,16.192156
-10,10,16.218086
-10,10,16.24601
-10,10,16.339732
-10,10,16.364697
-10,10,16.391644
-10,10,16.418552
-10,10,16.445479
-10,10,16.472376
-10,10,16.499333
-10,10,16.524259
-10,10,16.549203
-10,10,16.65887
-10,10,16.684801
-10,10,16.711728
-10,10,16.735665
-10,10,16.816547
-10,10,16.843473
-10,10,16.869415
-10,10,16.894353
-8,9,16.92127
-10,10,17.004007
-10,10,17.030972
-10,10,17.101782
-10,10,17.16362
-10,10,17.19055
-10,10,17.216475
-10,10,17.241409
-10,10,17.26734
-10,10,17.293234
-10,10,17.321198
-10,10,17.411953
-2,3,17.418937
-10,10,17.446831
-10,10,17.473788
-10,10,17.551579
-10,10,17.584454
-10,10,17.627416
-9,10,17.704173
-5,6,17.721128
-10,10,17.747056
-10,10,17.772988
-10,10,17.797921
-10,10,17.826842
-10,10,17.92255
-10,10,17.950474
-10,10,17.979397
-10,10,18.042267
-10,10,18.069195
-10,10,18.096123
-10,10,18.123067
-10,10,18.149978
-10,10,18.227776
-10,10,18.253702
-10,10,18.279639
-10,10,18.304567
-10,10,18.330496
-10,10,18.363371
-10,10,18.390333
-10,10,18.416271
-10,10,18.527958
-8,9,18.567958
-3,4,18.578884
-10,10,18.605766
-6,7,18.624715
-10,10,18.651677
-5,6,18.667654
-10,10,18.73841
-10,10,18.764385
-10,10,18.79127
-10,10,18.819195
-10,10,18.894995
-4,5,18.909992
-10,10,18.936918
-10,10,18.962849
-10,10,18.989778
-6,7,19.061547
-10,10,19.089472
-3,4,19.10144
-6,7,19.119395
-10,10,19.14632
-6,7,19.167264
-10,10,19.194192
-6,7,19.214139
-3,4,19.224112
-10,10,19.252037
-3,4,19.263009
-10,10,19.373751
-10,10,19.400676
-10,10,19.428604
-10,10,19.454535
-10,10,19.481477
