# {"t_start": 1601112995.4670815, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.036908
-10,10,0.061805
-10,10,0.087779
-10,10,0.11372
-10,10,0.140634
-10,10,0.166567
-10,10,0.191499
-10,10,0.512165
-10,10,0.539097
-10,10,0.567985
-10,10,0.648793
-10,10,0.673728
-10,10,0.700655
-10,10,0.727545
-10,10,0.823325
-10,10,0.850279
-10,10,0.875197
-10,10,0.902126
-10,10,0.929045
-10,10,0.997862
-10,10,1.023792
-10,10,1.051716
-10,10,1.078614
-10,10,1.103579
-10,10,1.129511
-10,10,1.155451
-10,10,1.249188
-10,10,1.304043
-10,10,1.330971
-10,10,1.35786
-10,10,1.382832
-10,10,1.408762
-10,10,1.435689
-8,9,1.459626
-10,10,1.485562
-10,10,1.512446
-10,10,1.608249
-10,10,1.63317
-10,10,1.659105
-10,10,1.685023
-10,10,1.710953
-10,10,1.737881
-10,10,1.763813
-10,10,1.789737
-10,10,1.893473
-10,10,1.919397
-10,10,1.946324
-10,10,1.971259
-10,10,1.999184
-10,10,2.025114
-10,10,2.052041
-10,10,2.078963
-10,10,2.105902
-10,10,2.237535
-10,10,2.269422
-10,10,2.302334
-10,10,2.33325
-10,10,2.415079
-10,10,2.440014
-7,8,2.460916
-3,4,2.471928
-10,10,2.497851
-10,10,2.524787
-7,8,2.546715
-10,10,2.621389
-10,10,2.648318
-10,10,2.674248
-10,10,2.699186
-5,6,2.714142
-9,10,2.740072
-10,10,2.81587
-10,10,2.843795
-10,10,2.870723
-10,10,2.940536
-10,10,2.998381
-10,10,3.023315
-10,10,3.050242
-10,10,3.076173
-10,10,3.102104
-10,10,3.128035
-10,10,3.153965
-10,10,3.183887
-3,4,3.282661
-10,10,3.309551
-10,10,3.339471
-10,10,3.368394
-10,10,3.399311
-7,8,3.42225
-10,10,3.448218
-10,10,3.474109
-8,9,3.497048
-4,5,3.512008
-5,6,3.587805
-7,8,3.608749
-10,10,3.665597
-10,10,3.691528
-10,10,3.717458
-10,10,3.743389
-10,10,3.770317
-10,10,3.797245
-10,10,3.907949
-10,10,3.93388
-10,10,3.95981
-10,10,3.985741
-10,10,4.014663
-10,10,4.039597
-10,10,4.115513
-10,10,4.141444
-10,10,4.167375
-10,10,4.191311
-10,10,4.218242
-10,10,4.244131
-10,10,4.340911
-10,10,4.367834
-10,10,4.39577
-10,10,4.422652
-8,9,4.510457
-10,10,4.536387
-10,10,4.564309
-10,10,4.591237
-10,10,4.617176
-10,10,4.64406
-10,10,4.669011
-3,4,4.761777
-10,10,4.810662
-10,10,4.841567
-10,10,4.868499
-10,10,4.89643
-10,10,4.923342
-10,10,4.950242
-10,10,4.975177
-10,10,5.057001
-10,10,5.084072
-6,7,5.129948
-6,7,5.14889
-10,10,5.174822
-10,10,5.201751
-10,10,5.227648
-10,10,5.253619
-3,4,5.265587
-4,5,5.277515
-10,10,5.303487
-10,10,5.381283
-10,10,5.409201
-10,10,5.468045
-5,6,5.511889
-10,10,5.536861
-10,10,5.563788
-10,10,5.590733
-10,10,5.66055
-10,10,5.687462
-10,10,5.714387
-10,10,5.741325
-10,10,5.768201
-10,10,5.792137
-10,10,5.878949
-10,10,5.904876
-9,10,5.932796
-10,10,6.010564
-10,10,6.035527
-9,10,6.062459
-10,10,6.090381
-10,10,6.117308
-10,10,6.144198
-10,10,6.16917
-10,10,6.253946
-9,10,6.280871
-10,10,6.307903
-10,10,6.333832
-10,10,6.359767
-10,10,6.424585
-10,10,6.452518
-10,10,6.477408
-10,10,6.502383
-10,10,6.529309
-10,10,6.608098
-10,10,6.632033
-10,10,6.657965
-10,10,6.683898
-10,10,6.709826
-10,10,6.735757
-10,10,6.833495
-10,10,6.859388
-10,10,6.886349
-10,10,6.911287
-10,10,6.938217
-10,10,7.024983
-10,10,7.049922
-10,10,7.075848
-10,10,7.10078
-6,7,7.118733
-10,10,7.145664
-10,10,7.171585
-10,10,7.254369
-10,10,7.279303
-10,10,7.306234
-10,10,7.332161
-10,10,7.3606
-10,10,7.384578
-10,10,7.41047
-10,10,7.436444
-10,10,7.545139
-10,10,7.571037
-10,10,7.597007
-10,10,7.62294
-10,10,7.650012
