# {"t_start": 1601112995.4620664, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.040925
-10,10,0.065862
-10,10,0.091797
-10,10,0.118736
-10,10,0.145649
-10,10,0.171582
-6,7,0.189531
-5,6,0.505203
-5,6,0.524156
-9,10,0.549087
-10,10,0.578972
-10,10,0.652811
-10,10,0.678743
-10,10,0.705671
-10,10,0.731562
-10,10,0.82834
-10,10,0.85427
-10,10,0.880212
-10,10,0.907141
-10,10,0.933025
-10,10,1.002877
-7,8,1.023822
-10,10,1.05071
-8,9,1.072689
-10,10,1.09958
-10,10,1.125549
-10,10,1.152481
-10,10,1.253223
-10,10,1.308059
-10,10,1.335986
-10,10,1.360918
-10,10,1.387847
-10,10,1.413778
-10,10,1.440705
-10,10,1.466597
-10,10,1.493565
-10,10,1.520495
-10,10,1.613265
-10,10,1.638186
-10,10,1.66412
-10,10,1.68904
-10,10,1.715968
-10,10,1.741913
-10,10,1.767827
-10,10,1.794752
-10,10,1.898488
-10,10,1.923417
-10,10,1.950339
-10,10,1.976274
-10,10,2.0042
-10,10,2.030129
-10,10,2.057056
-10,10,2.082949
-10,10,2.109916
-10,10,2.24255
-10,10,2.27344
-10,10,2.306353
-4,5,2.322309
-10,10,2.350234
-10,10,2.419094
-10,10,2.445029
-8,9,2.468966
-10,10,2.493893
-10,10,2.521814
-10,10,2.546746
-10,10,2.625407
-10,10,2.652335
-10,10,2.678266
-10,10,2.703199
-10,10,2.728132
-10,10,2.81989
-10,10,2.847813
-10,10,2.875738
-10,10,2.945551
-10,10,3.002399
-10,10,3.02833
-10,10,3.05426
-10,10,3.081188
-10,10,3.106124
-10,10,3.13305
-10,10,3.15898
-10,10,3.187904
-7,8,3.297651
-10,10,3.325537
-10,10,3.35446
-10,10,3.384398
-10,10,3.413302
-10,10,3.442278
-10,10,3.469151
-10,10,3.494085
-10,10,3.602793
-10,10,3.670612
-10,10,3.695545
-10,10,3.722473
-10,10,3.748404
-10,10,3.775332
-8,9,3.796276
-10,10,3.911967
-10,10,3.937897
-10,10,3.963828
-10,10,3.990756
-10,10,4.018692
-10,10,4.043615
-10,10,4.119536
-10,10,4.145466
-10,10,4.171392
-10,10,4.196326
-10,10,4.223257
-10,10,4.249146
-10,10,4.345926
-10,10,4.372849
-10,10,4.399768
-10,10,4.426702
-10,10,4.519423
-10,10,4.5444
-10,10,4.572316
-10,10,4.599209
-10,10,4.625179
-10,10,4.65112
-10,10,4.677029
-10,10,4.814674
-10,10,4.846582
-10,10,4.872517
-10,10,4.900456
-10,10,4.928357
-10,10,4.955257
-10,10,4.979194
-10,10,5.06101
-10,10,5.088081
-10,10,5.142903
-10,10,5.167876
-10,10,5.194804
-10,10,5.221735
-10,10,5.247664
-10,10,5.274598
-10,10,5.300482
-10,10,5.386298
-10,10,5.414216
-10,10,5.472063
-10,10,5.527923
-10,10,5.554834
-10,10,5.580768
