# {"t_start": 1601112995.447134, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.053864
-10,10,0.079798
-10,10,0.105728
-10,10,0.13162
-10,10,0.158587
-10,10,0.184517
-10,10,0.21045
-10,10,0.530112
-10,10,0.557053
-10,10,0.584927
-10,10,0.665749
-10,10,0.69168
-10,10,0.717622
-6,7,0.736522
-4,5,0.751481
-10,10,0.840281
-10,10,0.867206
-10,10,0.894135
-10,10,0.920079
-10,10,0.946989
-10,10,1.015818
-10,10,1.041746
-10,10,1.069669
-10,10,1.096558
-10,10,1.121529
-7,8,1.142476
-10,10,1.169405
-10,10,1.267141
-10,10,1.321999
-10,10,1.348924
-10,10,1.374853
-10,10,1.401781
-10,10,1.426715
-10,10,1.453646
-10,10,1.480571
-10,10,1.507499
-10,10,1.533424
-10,10,1.626178
-10,10,1.651124
-10,10,1.677047
-8,9,1.699984
-10,10,1.726912
-10,10,1.752842
-10,10,1.777778
-10,10,1.805697
-10,10,1.911419
-9,10,1.936365
-10,10,1.964249
-10,10,1.989215
-10,10,2.017136
-10,10,2.044065
-7,8,2.064971
-8,9,2.086952
-4,5,2.102898
-10,10,2.129836
-10,10,2.255488
-10,10,2.287375
-10,10,2.320287
-10,10,2.351203
-10,10,2.432022
-10,10,2.457966
-10,10,2.485892
-10,10,2.510815
-10,10,2.538741
-10,10,2.563679
-10,10,2.639343
-10,10,2.666271
-10,10,2.692201
-10,10,2.717153
-10,10,2.742068
-10,10,2.833823
-10,10,2.861748
-10,10,2.889673
-10,10,2.958489
-4,5,3.003369
-10,10,3.030297
-10,10,3.054233
-6,7,3.074179
-10,10,3.101108
-10,10,3.127039
-7,8,3.145988
-10,10,3.171918
-5,6,3.187876
-8,9,3.220803
-10,10,3.317577
-10,10,3.345457
-10,10,3.375384
-10,10,3.406293
-10,10,3.434228
-10,10,3.461179
-10,10,3.487075
-10,10,3.513006
-10,10,3.615732
-10,10,3.682553
-10,10,3.709481
-10,10,3.735411
-10,10,3.761342
-10,10,3.78827
-10,10,3.814201
-10,10,3.924905
-10,10,3.951832
-10,10,3.977763
-10,10,4.003694
-10,10,4.03162
-6,7,4.049572
-10,10,4.133466
-10,10,4.159397
-10,10,4.185328
-10,10,4.209267
-7,8,4.232206
-10,10,4.257133
-10,10,4.284057
-5,6,4.349879
-10,10,4.37578
-7,8,4.395766
-10,10,4.424688
-3,4,4.434673
-10,10,4.460592
-9,10,4.532399
-10,10,4.557337
-10,10,4.585256
-10,10,4.612192
-6,7,4.631097
-10,10,4.657058
-10,10,4.681999
-9,10,4.70793
-7,8,4.823581
-10,10,4.854498
-10,10,4.881478
-10,10,4.907408
-10,10,4.93628
-10,10,4.961252
-6,7,4.981159
-10,10,5.074946
-10,10,5.102017
-10,10,5.156877
-10,10,5.181811
-10,10,5.20874
-9,10,5.235667
-10,10,5.26161
-10,10,5.288518
-10,10,5.31442
-10,10,5.399239
-10,10,5.427155
-10,10,5.485998
-10,10,5.541848
-10,10,5.567772
-10,10,5.594705
-10,10,5.619601
-10,10,5.678488
-10,10,5.705411
-10,10,5.732339
-7,8,5.754264
-10,10,5.780172
-10,10,5.805104
-10,10,5.895902
-10,10,5.92283
-10,10,5.95075
-6,7,5.969706
-10,10,6.028538
-10,10,6.052484
-10,10,6.080406
-9,10,6.108334
-10,10,6.136259
-5,6,6.15122
-10,10,6.177149
-10,10,6.271897
-10,10,6.298823
-10,10,6.325859
-10,10,6.351784
-10,10,6.377714
-10,10,6.442537
-8,9,6.467473
-10,10,6.492409
-10,10,6.518342
-10,10,6.544274
-10,10,6.62605
-10,10,6.649987
-10,10,6.675919
-9,10,6.701848
-10,10,6.727782
-10,10,6.753711
-10,10,6.851451
-10,10,6.876381
-10,10,6.902311
-10,10,6.929231
-10,10,6.956165
-10,10,7.042935
-10,10,7.067869
-10,10,7.093811
-10,10,7.118734
-10,10,7.144665
-10,10,7.171592
-10,10,7.272322
-10,10,7.297217
-10,10,7.324187
-7,8,7.344092
-9,10,7.37102
-10,10,7.398543
-5,6,7.414499
-7,8,7.435411
-10,10,7.459378
-10,10,7.563062
-10,10,7.587992
-10,10,7.614962
-10,10,7.640893
-10,10,7.667022
-10,10,7.760717
-10,10,7.786647
-10,10,7.812575
-10,10,7.837511
-10,10,7.864399
-10,10,7.89037
-10,10,7.917299
-10,10,7.943219
-10,10,7.969171
-7,8,8.061913
-10,10,8.089837
-10,10,8.11577
-8,9,8.140692
-4,5,8.154623
-10,10,8.233498
-10,10,8.259427
-10,10,8.285349
-10,10,8.310296
-10,10,8.336227
-10,10,8.362168
-10,10,8.38909
-10,10,8.416005
-10,10,8.509762
-10,10,8.537683
-10,10,8.563575
-10,10,8.634474
-10,10,8.691271
-10,10,8.716215
-10,10,8.742144
-10,10,8.821916
-10,10,8.84984
-10,10,8.910693
-10,10,8.935621
-10,10,8.960554
-10,10,8.987484
-10,10,9.014369
-9,10,9.089205
-10,10,9.115143
-6,7,9.134092
-7,8,9.156025
-10,10,9.248743
-10,10,9.273716
-10,10,9.299649
-5,6,9.317596
-10,10,9.343526
-10,10,9.418321
-10,10,9.444245
-10,10,9.471171
-10,10,9.496118
-10,10,9.52205
-10,10,9.547983
-10,10,9.575906
-10,10,9.602839
-10,10,9.712541
-10,10,9.738476
-10,10,9.7654
-10,10,9.791331
-10,10,9.818263
-10,10,9.843193
-10,10,9.869126
-10,10,9.972846
-10,10,9.998774
-10,10,10.023709
-10,10,10.050637
-10,10,10.076567
-10,10,10.152366
-10,10,10.177311
-10,10,10.206234
-10,10,10.232156
-10,10,10.305951
-10,10,10.332888
-10,10,10.360813
-10,10,10.386758
-10,10,10.412674
-7,8,10.434577
-10,10,10.460545
-10,10,10.486436
-10,10,10.512367
-10,10,10.62311
-10,10,10.64904
-10,10,10.674973
-10,10,10.7019
-10,10,10.72783
-10,10,10.754758
-9,10,10.839531
-10,10,10.86646
-10,10,10.89239
-10,10,10.919318
-10,10,10.94525
-8,9,10.968188
-10,10,11.052969
-10,10,11.079887
-10,10,11.106815
-10,10,11.134743
-10,10,11.160684
-10,10,11.185606
-10,10,11.211542
-10,10,11.292313
-10,10,11.319242
-10,10,11.380047
-10,10,11.40502
-10,10,11.430951
-10,10,11.511738
-10,10,11.539622
-10,10,11.569589
-10,10,11.598493
-10,10,11.626388
-10,10,11.653355
-10,10,11.748095
-10,10,11.774032
-10,10,11.799964
-10,10,11.826892
-10,10,11.85383
-10,10,11.88071
-10,10,11.905681
-10,10,11.987468
-10,10,12.015389
-10,10,12.061235
-6,7,12.080175
-7,8,12.103153
-6,7,12.1211
-10,10,12.186895
-10,10,12.210864
-10,10,12.237794
-10,10,12.263697
-7,8,12.284669
-10,10,12.310596
-10,10,12.335531
-10,10,12.420307
