# {"t_start": 1601112995.4640965, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.038895
-10,10,0.06479
-10,10,0.090764
-10,10,0.116705
-10,10,0.143619
-10,10,0.169552
-10,10,0.194484
-10,10,0.51515
-10,10,0.542082
-10,10,0.569959
-4,5,0.586914
-10,10,0.650781
-10,10,0.676713
-10,10,0.70364
-10,10,0.729532
-10,10,0.82631
-10,10,0.85224
-7,8,0.873196
-10,10,0.899117
-10,10,0.926047
-10,10,1.000847
-10,10,1.026777
-6,7,1.044738
-6,7,1.063684
-10,10,1.090605
-10,10,1.117535
-5,6,1.132496
-8,9,1.155432
-10,10,1.252173
-10,10,1.306029
-10,10,1.333956
-6,7,1.349917
-10,10,1.376844
-10,10,1.404766
-10,10,1.430687
-8,9,1.453635
-10,10,1.479568
-8,9,1.503503
-10,10,1.611234
-10,10,1.636155
-10,10,1.66209
-10,10,1.68701
-10,10,1.713938
-10,10,1.739883
-10,10,1.766798
-10,10,1.792722
-10,10,1.896458
-10,10,1.921387
-10,10,1.949309
-10,10,1.974244
-10,10,2.002169
-10,10,2.028099
-10,10,2.055026
-10,10,2.080919
-10,10,2.107886
-10,10,2.24052
-10,10,2.27141
-10,10,2.304322
-10,10,2.336235
-10,10,2.417064
-10,10,2.442999
-10,10,2.469925
-10,10,2.49585
-10,10,2.522775
-10,10,2.548668
-10,10,2.624374
-10,10,2.650305
-10,10,2.676236
-10,10,2.702171
-10,10,2.726102
-10,10,2.81786
-10,10,2.845783
-10,10,2.873708
-10,10,2.943521
-10,10,3.000369
-10,10,3.0263
-10,10,3.05223
-10,10,3.079158
-10,10,3.104094
-10,10,3.13102
-10,10,3.15695
-10,10,3.185874
-7,8,3.295621
-10,10,3.323507
-10,10,3.352429
-10,10,3.382368
-10,10,3.412269
-8,9,3.438243
-10,10,3.46413
-10,10,3.490059
-8,9,3.513996
-10,10,3.600763
-4,5,3.614726
-10,10,3.668582
-10,10,3.693515
-10,10,3.720443
-10,10,3.746374
-10,10,3.773302
-10,10,3.799233
-10,10,3.909937
-10,10,3.935867
-10,10,3.961798
-10,10,3.988726
-10,10,4.016662
-10,10,4.041584
-10,10,4.118498
-10,10,4.144429
-10,10,4.169362
-10,10,4.194296
-10,10,4.221227
-10,10,4.247116
-10,10,4.343896
-10,10,4.370819
-10,10,4.398755
-10,10,4.425637
-10,10,4.517393
-10,10,4.54237
-10,10,4.570286
-10,10,4.597179
-10,10,4.623149
-10,10,4.64909
-10,10,4.674999
-10,10,4.812644
-10,10,4.844552
-10,10,4.870487
-10,10,4.898426
-10,10,4.926327
-10,10,4.953227
-10,10,4.977164
-10,10,5.05898
-10,10,5.087057
-10,10,5.141875
-10,10,5.165846
-10,10,5.192774
-10,10,5.219704
-10,10,5.245634
-10,10,5.272568
-10,10,5.299478
-10,10,5.384268
-10,10,5.412186
-6,7,5.46207
-10,10,5.525892
-10,10,5.552804
-10,10,5.578738
-10,10,5.604672
-10,10,5.663535
-10,10,5.690447
-10,10,5.717372
-10,10,5.743303
-10,10,5.770189
-10,10,5.795122
-10,10,5.880895
-10,10,5.906865
-10,10,5.934795
-10,10,6.013549
-10,10,6.037514
-10,10,6.065444
-10,10,6.093366
-10,10,6.120293
-10,10,6.147183
-10,10,6.172155
-10,10,6.256931
-10,10,6.283856
-10,10,6.309888
-10,10,6.336817
-10,10,6.362752
-10,10,6.42757
-10,10,6.454502
-10,10,6.480393
-10,10,6.505368
-10,10,6.532294
-10,10,6.610085
-10,10,6.635018
-10,10,6.659958
-10,10,6.686883
-10,10,6.712811
-10,10,6.738742
-10,10,6.835488
-10,10,6.862373
-10,10,6.888302
-10,10,6.914272
-10,10,6.940202
-10,10,7.026971
-10,10,7.052907
-10,10,7.077838
-10,10,7.102767
-10,10,7.129696
-10,10,7.156624
-8,9,7.253367
-10,10,7.279296
-10,10,7.305218
-10,10,7.332152
-10,10,7.359375
-10,10,7.384568
-10,10,7.410501
-7,8,7.431446
-8,9,7.455386
-10,10,7.548124
-10,10,7.573025
-10,10,7.598996
-10,10,7.624931
-9,10,7.652003
-10,10,7.745749
-10,10,7.77168
-10,10,7.79761
-10,10,7.822549
-10,10,7.849472
-10,10,7.875406
-10,10,7.901335
-10,10,7.927258
-10,10,7.954152
-10,10,8.053925
-10,10,8.080891
-10,10,8.105786
-10,10,8.132715
-10,10,8.217535
-5,6,8.233449
-10,10,8.258424
-10,10,8.284352
-3,4,8.295329
-10,10,8.321254
-10,10,8.347148
-10,10,8.374112
-4,5,8.386077
-10,10,8.493793
-10,10,8.521719
-10,10,8.549643
-10,10,8.619452
-10,10,8.676264
-7,8,8.695262
-10,10,8.72118
-10,10,8.748108
-10,10,8.806953
-10,10,8.834872
-10,10,8.895727
-10,10,8.920651
-10,10,8.945584
-10,10,8.971519
-10,10,8.999439
-10,10,9.07425
-10,10,9.100172
-10,10,9.126101
