# {"t_start": 1603830452.144192, "env_id": "minigolf-v0"} 
r,l,t
-101.0,2,0.004989
0.0,1,0.006989
-2.0,3,0.012344
0.0,1,0.013963
-1.0,2,0.017951
-4.0,5,0.030911
0.0,1,0.032907
-3.0,4,0.040107
-2.0,3,0.048856
-101.0,2,0.052383
-1.0,2,0.057292
0.0,1,0.059606
-102.0,3,0.065021
-100.0,1,0.066968
-3.0,4,0.074945
-3.0,4,0.081936
0.0,1,0.084929
-100.0,1,0.08693
0.0,1,0.088878
-100.0,1,0.092077
-100.0,1,0.093907
-1.0,2,0.096895
-100.0,1,0.098893
0.0,1,0.100886
