         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
     5905    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2812    0.001    0.000    0.001    0.000 {built-in method from_bytes}
1096/1002    0.001    0.000    0.019    0.000 typing.py:248(inner)
     2094    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      994    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     1025    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      117    0.001    0.000    0.008    0.000 decorator.py:162(make)
     3052    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
  335/141    0.001    0.000    0.022    0.000 sre_parse.py:411(_parse_sub)
     1035    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1047    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1882    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      117    0.001    0.000    0.007    0.000 decorator.py:93(__init__)
      938    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      177    0.001    0.000    0.002    0.000 os.py:674(__getitem__)
     3626    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
     3252    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1047    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      938    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      107    0.001    0.000    0.003    0.000 typing.py:180(_subs_tvars)
      938    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     6166    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     3052    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      113    0.001    0.000    0.006    0.000 inspect.py:1089(getfullargspec)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
     1004    0.001    0.000    0.245    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     4560    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      861    0.001    0.000    0.002    0.000 registration.py:39(__init__)
        1    0.001    0.001    0.038    0.038 __init__.py:58(<module>)
     1263    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     2981    0.001    0.000    0.002    0.000 typing.py:590(_is_dunder)
      141    0.001    0.000    0.039    0.000 sre_compile.py:759(compile)
       47    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
   1271/5    0.001    0.000    1.545    0.309 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        6    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
