         423826 function calls (410833 primitive calls) in 1.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
        1    0.000    0.000    0.000    0.000 cmd.py:43(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      135    0.000    0.000    0.000    0.000 six.py:88(__init__)
        5    0.000    0.000    0.000    0.000 backcall.py:27(callback_prototype)
      179    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 displayhook.py:5(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
        9    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        1    0.000    0.000    0.000    0.000 selector_events.py:5(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 py3compat.py:2(<module>)
        1    0.000    0.000    0.002    0.002 processors.py:7(<module>)
        1    0.000    0.000    0.000    0.000 shellapp.py:99(InteractiveShellApp)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       80    0.000    0.000    0.000    0.000 argparse.py:233(_add_item)
        1    0.000    0.000    0.001    0.001 style.py:3(<module>)
        1    0.000    0.000    0.000    0.000 poisson.py:9(Poisson)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       54    0.000    0.000    0.000    0.000 __init__.py:338(_merge)
        1    0.000    0.000    0.009    0.009 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 settings.py:52(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       11    0.000    0.000    0.001    0.000 argparse.py:494(_format_text)
        1    0.000    0.000    0.025    0.025 parallel.py:3(<module>)
       21    0.000    0.000    0.006    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.613    0.613 auto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 current.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recursion.py:27(<module>)
        1    0.000    0.000    0.004    0.004 compressed.py:1(<module>)
       22    0.000    0.000    0.000    0.000 locale.py:384(normalize)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      103    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       21    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.022    0.022 __init__.py:46(<module>)
        1    0.000    0.000    0.000    0.000 _multiprocessing_helpers.py:5(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        2    0.000    0.000    0.014    0.007 __init__.py:5(<module>)
        1    0.000    0.000    0.004    0.004 magic_arguments.py:45(<module>)
        1    0.000    0.000    0.000    0.000 alias.py:192(AliasManager)
        1    0.000    0.000    0.000    0.000 controls.py:509(BufferControl)
       21    0.000    0.000    0.000    0.000 traitlets.py:855(default)
        1    0.000    0.000    0.012    0.012 run_in_terminal.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dialogs.py:3(<module>)
      170    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
        2    0.000    0.000    0.001    0.001 activation.py:1(<module>)
        1    0.000    0.000    0.500    0.500 embed.py:4(<module>)
        1    0.000    0.000    0.000    0.000 defaults.py:126(<listcomp>)
        1    0.000    0.000    0.019    0.019 typeshed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:361(BaseDescriptor)
        1    0.000    0.000    0.000    0.000 configurable.py:33(Configurable)
        1    0.000    0.000    0.000    0.000 typeahead.py:33(<module>)
        1    0.000    0.000    0.012    0.012 quantize.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
       24    0.000    0.000    0.000    0.000 cache.py:58(decorator)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:43(isatty)
        1    0.000    0.000    0.002    0.002 _process_common.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:499(StringConverter)
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.004    0.004 base_value.py:8(<module>)
        1    0.000    0.000    0.002    0.002 docstrings.py:16(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._tracer_warn_use_python}
       33    0.000    0.000    0.000    0.000 argparse.py:1505(_get_handler)
        1    0.000    0.000    0.008    0.008 klass.py:38(<module>)
        1    0.000    0.000    0.013    0.013 platform.py:10(<module>)
       22    0.000    0.000    0.001    0.000 arguments.py:38(repack_with_argument_clinic)
        1    0.000    0.000    0.002    0.002 script.py:68(ScriptMagics)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<listcomp>)
        1    0.000    0.000    0.004    0.004 environment.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.006    0.006 basic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 logging.py:2(<module>)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        2    0.000    0.000    0.000    0.000 six.py:829(__new__)
        1    0.000    0.000    0.001    0.001 iterable.py:4(<module>)
      268    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
        4    0.000    0.000    0.000    0.000 utils.py:52(reraise_uncaught)
       57    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.004    0.004 script.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python.py:970(NumPyLexer)
        1    0.000    0.000    0.000    0.000 filter.py:10(<module>)
        1    0.000    0.000    0.002    0.002 vt100_parser.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _compatibility.py:564(GeneralizedPopen)
        1    0.000    0.000    0.030    0.030 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:11(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 mouse_events.py:17(<module>)
        2    0.000    0.000    0.000    0.000 traitlets.py:823(validate)
        1    0.000    0.000    0.004    0.004 typing.py:7(<module>)
        1    0.000    0.000    0.000    0.000 completer.py:991(IPCompleter)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
       37    0.000    0.000    0.000    0.000 argparse.py:1734(_add_action)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
        1    0.000    0.000    0.000    0.000 storage.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constraint_registry.py:66(<module>)
      155    0.000    0.000    0.000    0.000 my_exceptions.py:109(<lambda>)
        6    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       21    0.000    0.000    0.000    0.000 traitlets.py:938(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 random.py:681(getrandbits)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 completion.py:3(<module>)
      214    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       42    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       37    0.000    0.000    0.000    0.000 argparse.py:1501(_pop_action_class)
        2    0.000    0.000    0.000    0.000 profiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vi_state.py:1(<module>)
        1    0.000    0.000    0.001    0.001 display.py:26(DisplayMagics)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       72    0.000    0.000    0.000    0.000 kl.py:68(decorator)
        1    0.000    0.000    0.003    0.003 basic.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 annotations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 screen.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _store_backends.py:1(<module>)
        1    0.000    0.000    0.612    0.612 autonotebook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:23(<module>)
        1    0.000    0.000    0.001    0.001 compressor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipapp.py:179(TerminalIPythonApp)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
        1    0.000    0.000    0.007    0.007 subprocess.py:42(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiledir.py:28(ProfileDir)
        2    0.000    0.000    0.000    0.000 coroutines.py:104(coroutine)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.003    0.003 html.py:10(<module>)
        1    0.000    0.000    0.004    0.004 tensor.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _recursive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 value.py:44(CompiledObject)
        1    0.000    0.000    0.002    0.002 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 history.py:472(HistoryManager)
        1    0.000    0.000    0.000    0.000 minidom.py:661(Element)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
       74    0.000    0.000    0.000    0.000 argparse.py:1303(_registry_get)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        1    0.000    0.000    0.001    0.001 numpy_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2938(__array_finalize__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
       54    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        9    0.000    0.000    0.000    0.000 tensor.py:16(_wrap_type_error_to_not_implemented)
        1    0.000    0.000    0.005    0.005 async_vector_env.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
       12    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       16    0.000    0.000    0.000    0.000 traitlets.py:2558(class_init)
        1    0.000    0.000    0.000    0.000 ultratb.py:482(TBTools)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 tensor.py:41(Tensor)
       37    0.000    0.000    0.000    0.000 magic_arguments.py:180(__call__)
        1    0.000    0.000    0.000    0.000 type_var.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.006    0.006 reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:26(LSString)
        1    0.000    0.000    0.000    0.000 pygments.py:8(<module>)
        1    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
       35    0.000    0.000    0.000    0.000 cache.py:13(_memoize_default)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._init_names}
       44    0.000    0.000    0.000    0.000 argparse.py:197(_dedent)
        1    0.000    0.000    0.008    0.008 process.py:4(<module>)
        1    0.000    0.000    0.055    0.055 classes.py:5(<module>)
       23    0.000    0.000    0.000    0.000 constraint_registry.py:106(<lambda>)
       16    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        1    0.000    0.000    0.017    0.017 __init__.py:26(<module>)
       18    0.000    0.000    0.000    0.000 argparse.py:908(__init__)
        1    0.000    0.000    0.000    0.000 observer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       20    0.000    0.000    0.000    0.000 argparse.py:885(__init__)
        1    0.000    0.000    0.000    0.000 auto_suggest.py:3(<module>)
       33    0.000    0.000    0.000    0.000 normalizer.py:100(decorator)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:47(BaseSelectorEventLoop)
        1    0.000    0.000    0.000    0.000 pygments.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _realtransforms.py:1(<module>)
        6    0.000    0.000    0.008    0.001 platform.py:923(uname)
        1    0.000    0.000    0.000    0.000 dummy.py:13(DummyApplication)
      159    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.006    0.006 cli.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.006    0.006 ansitowin32.py:2(<module>)
        1    0.000    0.000    0.000    0.000 controls.py:911(SearchBufferControl)
        1    0.000    0.000    0.000    0.000 laplace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:24(bsr_matrix)
        1    0.000    0.000    0.000    0.000 closer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:234(record)
        1    0.000    0.000    0.000    0.000 gui.py:9(<module>)
        1    0.000    0.000    0.001    0.001 completion.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        1    0.000    0.000    0.000    0.000 pdb.py:136(Pdb)
       38    0.000    0.000    0.001    0.000 typing.py:1197(_alias)
        1    0.000    0.000    0.001    0.001 annotation.py:6(<module>)
        1    0.000    0.000    0.006    0.006 context.py:13(<module>)
        1    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
      216    0.000    0.000    0.000    0.000 argparse.py:664(<genexpr>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.037    0.037 __init__.py:12(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        1    0.000    0.000    0.000    0.000 grammar_parser.py:13(GrammarParser)
        1    0.000    0.000    0.003    0.003 osm.py:5(<module>)
        1    0.000    0.000    0.000    0.000 spaces.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
        4    0.000    0.000    0.001    0.000 magic.py:198(mark)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
        1    0.000    0.000    0.000    0.000 base.py:62(spmatrix)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.001    0.001 pickleshare.py:34(<module>)
        1    0.000    0.000    0.000    0.000 payload.py:8(<module>)
        1    0.000    0.000    0.000    0.000 base.py:17(Output)
        1    0.000    0.000    0.001    0.001 fuzzy_completer.py:1(<module>)
        1    0.000    0.000    0.009    0.009 search.py:7(<module>)
        1    0.000    0.000    0.000    0.000 activation.py:673(MultiheadAttention)
        1    0.000    0.000    0.000    0.000 pretty.py:157(_PrettyPrinterBase)
        1    0.000    0.000    0.000    0.000 hashing.py:160(NumpyHasher)
        1    0.000    0.000    0.004    0.004 header.py:5(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 value.py:23(CheckAttribute)
        1    0.000    0.000    0.010    0.010 batchnorm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 utils.py:5(<module>)
       21    0.000    0.000    0.000    0.000 traitlets.py:941(class_init)
       11    0.000    0.000    0.000    0.000 traitlets.py:2129(__init__)
        1    0.000    0.000    0.000    0.000 base.py:17(Lexer)
        1    0.000    0.000    0.000    0.000 menus.py:656(_SelectedCompletionMetaControl)
       17    0.000    0.000    0.000    0.000 argparse.py:850(__init__)
        1    0.000    0.000    0.000    0.000 helpers.py:3(<module>)
      144    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
       37    0.000    0.000    0.000    0.000 argparse.py:1514(_check_conflict)
        1    0.000    0.000    0.000    0.000 excolors.py:18(exception_colors)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.040    0.040 __init__.py:91(<module>)
        2    0.000    0.000    0.000    0.000 ansitowin32.py:116(get_win32_calls)
        1    0.000    0.000    0.000    0.000 prefilter.py:454(AutoMagicChecker)
        1    0.000    0.000    0.001    0.001 worker.py:5(<module>)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       47    0.000    0.000    0.000    0.000 six.py:105(__init__)
        2    0.000    0.000    0.001    0.000 ansitowin32.py:73(__init__)
        1    0.000    0.000    0.008    0.008 python.py:10(<module>)
       46    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
        1    0.000    0.000    0.015    0.015 overrides.py:1(<module>)
        1    0.000    0.000    0.039    0.039 base.py:2(<module>)
        1    0.000    0.000    0.006    0.006 dataloader.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.005    0.005 display.py:4(<module>)
        1    0.000    0.000    0.000    0.000 generics.py:81(TupleGenericManager)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 multi_discrete.py:1(<module>)
      124    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.000    0.000 request.py:433(OpenerDirector)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
        1    0.000    0.000    0.000    0.000 pygments.py:149(PygmentsLexer)
        1    0.000    0.000    0.006    0.006 __init__.py:192(<module>)
        1    0.000    0.000    0.000    0.000 win32.py:102(GetConsoleScreenBufferInfo)
        2    0.000    0.000    0.003    0.002 linear_relu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unistring.py:13(<module>)
        1    0.000    0.000    0.000    0.000 keys.py:10(Keys)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 conv_fused.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:37(addclosehook)
        1    0.000    0.000    0.049    0.049 __init__.py:64(<module>)
    53/34    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.004    0.004 diff.py:7(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
        1    0.000    0.000    0.007    0.007 configurable.py:2(<module>)
        1    0.000    0.000    0.001    0.001 history.py:138(HistoryAccessor)
        1    0.000    0.000    0.001    0.001 base_futures.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pool.py:11(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:336(__new__)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proactor_events.py:5(<module>)
        1    0.000    0.000    0.001    0.001 uuid.py:45(<module>)
        1    0.000    0.000    0.000    0.000 key_processor.py:8(<module>)
       18    0.000    0.000    0.000    0.000 stdlib.py:155(f)
        1    0.000    0.000    0.144    0.144 base.py:5(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.001    0.001 alias.py:9(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 pygments.py:6(<module>)
       50    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 prefilter.py:422(IPyAutocallChecker)
        1    0.000    0.000    0.018    0.018 auto_suggest.py:13(<module>)
        1    0.000    0.000    0.003    0.003 pylab.py:2(<module>)
        3    0.000    0.000    0.000    0.000 types.py:237(coroutine)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
       44    0.000    0.000    0.000    0.000 argparse.py:193(_indent)
        1    0.000    0.000    0.000    0.000 classes.py:42(BaseDefinition)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:689(ignore_lib_warnings)
       15    0.000    0.000    0.000    0.000 ntpath.py:219(dirname)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 events.py:210(AbstractEventLoop)
       35    0.000    0.000    0.000    0.000 traitlets.py:919(__init__)
        1    0.000    0.000    0.000    0.000 terminal.py:10(<module>)
        1    0.000    0.000    0.000    0.000 cpr.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 std.py:187(tqdm)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
        1    0.000    0.000    0.009    0.009 secrets.py:7(<module>)
       11    0.000    0.000    0.000    0.000 loader.py:252(__getitem__)
       38    0.000    0.000    0.000    0.000 ansi.py:12(code_to_chars)
        1    0.000    0.000    0.000    0.000 streams.py:351(StreamReader)
       71    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 module.py:186(ModuleValue)
        1    0.000    0.000    0.009    0.009 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 transformer.py:140(TransformerEncoder)
        1    0.000    0.000    0.000    0.000 compilerop.py:11(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:170(EndMarker)
        1    0.000    0.000    0.007    0.007 csr.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
      113    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
        1    0.000    0.000    0.000    0.000 tarfile.py:725(TarInfo)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-6>:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:374(__getattr__)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.000    0.000 ptutils.py:5(<module>)
        8    0.000    0.000    0.000    0.000 _torch_docs.py:9(parse_kwargs)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       96    0.000    0.000    0.000    0.000 enum.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       45    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        1    0.000    0.000    0.000    0.000 processors.py:910(ConditionalProcessor)
       62    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       19    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.007    0.007 py3k.py:12(<module>)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 prefilter.py:78(PrefilterManager)
        1    0.000    0.000    0.000    0.000 _base.py:13(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 pooling.py:1(<module>)
        1    0.000    0.000    0.005    0.005 inputhook.py:24(<module>)
        1    0.000    0.000    0.000    0.000 dynamic_arrays.py:21(<module>)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
       33    0.000    0.000    0.000    0.000 normalizer.py:76(register_rule)
        1    0.000    0.000    0.000    0.000 pep8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       48    0.000    0.000    0.000    0.000 typing.py:827(<genexpr>)
        5    0.000    0.000    0.001    0.000 typing.py:1418(__new__)
        1    0.000    0.000    0.000    0.000 helpers.py:1(<module>)
        1    0.000    0.000    0.017    0.017 stub_value.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:23(<module>)
       22    0.000    0.000    0.001    0.000 gettext.py:624(gettext)
        1    0.000    0.000    0.000    0.000 records.py:81(_OrderedCounter)
        4    0.000    0.000    0.000    0.000 threading.py:75(RLock)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.009    0.009 _datasource.py:36(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:1387(TarFile)
        1    0.000    0.000    0.000    0.000 frontend.py:109(UnsupportedNodeError)
        1    0.000    0.000    0.000    0.000 patch_stdout.py:19(<module>)
        6    0.000    0.000    0.008    0.001 platform.py:1061(system)
        8    0.000    0.000    0.000    0.000 _jit_internal.py:165(boolean_dispatch)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      124    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 mouse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lazy_value.py:22(LazyKnownValues)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
       22    0.000    0.000    0.000    0.000 argparse.py:276(add_arguments)
        1    0.000    0.000    0.002    0.002 arguments.py:1(<module>)
        1    0.000    0.000    0.002    0.002 namespace.py:2(<module>)
        1    0.000    0.000    0.007    0.007 uarray.py:8(<module>)
        1    0.000    0.000    0.004    0.004 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 style.py:10(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 string.py:55(_TemplateMetaclass)
        1    0.000    0.000    0.000    0.000 streams.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      124    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:1925(getLogger)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
       10    0.000    0.000    0.000    0.000 coloransi.py:113(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 decimal.py:2(<module>)
      124    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.000    0.000 loader.py:27(ConfigError)
        1    0.000    0.000    0.001    0.001 layout.py:26(Layout)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      124    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
