# {"t_start": 1601112995.4690754, "env_id": "goalnavigation-v0"} 
r,l,t
-10,10,0.034914
-10,10,0.059811
-10,10,0.085785
-10,10,0.111727
-10,10,0.13864
-10,10,0.16557
-10,10,0.190502
-10,10,0.511163
-7,8,0.53212
-10,10,0.559003
-10,10,0.646799
-10,10,0.671734
-10,10,0.698662
-10,10,0.725551
-10,10,0.821331
-10,10,0.848285
-10,10,0.873203
-10,10,0.900132
-10,10,0.927051
-10,10,0.995868
-10,10,1.022794
-10,10,1.049722
-10,10,1.07662
-10,10,1.101585
-10,10,1.127517
-10,10,1.154447
-10,10,1.247194
-10,10,1.302049
-10,10,1.328977
-10,10,1.355866
-10,10,1.381837
-10,10,1.407766
-10,10,1.433696
-10,10,1.460634
-10,10,1.487555
-10,10,1.513486
-10,10,1.606256
-10,10,1.631176
-10,10,1.657111
-10,10,1.683029
-10,10,1.709957
-10,10,1.735887
-10,10,1.762829
-10,10,1.787743
-10,10,1.892431
-10,10,1.917403
-10,10,1.945329
-10,10,1.969265
-10,10,1.99719
-10,10,2.024117
-10,10,2.050047
-10,10,2.076969
-10,10,2.103908
-8,9,2.232521
-5,6,2.250501
-10,10,2.28239
-10,10,2.3153
-10,10,2.343225
-10,10,2.413085
-10,10,2.43902
-10,10,2.465943
-10,10,2.490871
-10,10,2.518794
-10,10,2.544722
-10,10,2.619395
-10,10,2.646324
-10,10,2.672254
-10,10,2.697192
-10,10,2.722121
-10,10,2.813876
-4,5,2.828836
-10,10,2.855764
-10,10,2.882691
-10,10,2.939539
-10,10,2.996387
-10,10,3.022318
-10,10,3.048249
-10,10,3.07519
-10,10,3.10011
-10,10,3.126041
-10,10,3.151971
-10,10,3.181894
-10,10,3.297627
-10,10,3.326507
-10,10,3.355429
-10,10,3.38535
-10,10,3.414272
-10,10,3.441242
-10,10,3.467129
-10,10,3.493059
-10,10,3.595784
-10,10,3.6646
-10,10,3.689534
-10,10,3.716462
-10,10,3.742393
-10,10,3.768323
-10,10,3.795251
-10,10,3.905955
-10,10,3.931886
-10,10,3.957816
-10,10,3.984744
-10,10,4.01267
-10,10,4.037603
-6,7,4.104506
-10,10,4.130479
-7,8,4.151417
-8,9,4.174367
-10,10,4.201278
-10,10,4.226217
-10,10,4.252148
-6,7,4.331936
-10,10,4.357862
-10,10,4.385788
-10,10,4.410724
-10,10,4.436657
-10,10,4.513454
-10,10,4.538383
-10,10,4.566269
-10,10,4.593234
-10,10,4.61817
-10,10,4.645101
-10,10,4.671026
-10,10,4.808668
-10,10,4.839573
-10,10,4.866505
-10,10,4.894436
-10,10,4.922343
-10,10,4.948248
-10,10,4.973183
-10,10,5.055007
-7,8,5.077084
-4,5,5.08906
-9,10,5.137898
-10,10,5.161865
-10,10,5.188792
-6,7,5.206748
-7,8,5.228646
-6,7,5.246641
-10,10,5.272568
-8,9,5.297486
-10,10,5.38028
-10,10,5.408206
-10,10,5.466051
-7,8,5.515916
-10,10,5.541842
-10,10,5.56774
-10,10,5.593712
-10,10,5.659534
-10,10,5.685468
-10,10,5.712393
-10,10,5.739331
-10,10,5.766207
-10,10,5.791141
-10,10,5.876955
-10,10,5.902882
-10,10,5.930803
