# {"t_start": 1601112995.4720676, "env_id": "goalnavigation-v0"} 
r,l,t
-7,8,0.025938
-10,10,0.051872
-5,6,0.066831
-5,6,0.083786
-4,5,0.095771
-4,5,0.109719
-8,9,0.132654
-4,5,0.145625
-6,7,0.165566
-10,10,0.190507
-10,10,0.509166
-10,10,0.534111
-10,10,0.563983
-10,10,0.643806
-10,10,0.669738
-10,10,0.696671
-10,10,0.723556
-10,10,0.819349
-10,10,0.845293
-10,10,0.87121
-10,10,0.898135
-10,10,0.925017
-10,10,0.993876
-10,10,1.019802
-10,10,1.04673
-10,10,1.073627
-10,10,1.098593
-10,10,1.12552
-10,10,1.151455
-10,10,1.2452
-10,10,1.299057
-10,10,1.326981
-10,10,1.352874
-10,10,1.379836
-10,10,1.404774
-5,6,1.420736
-10,10,1.446666
-10,10,1.472607
-8,9,1.496527
-10,10,1.604237
-10,10,1.629183
-10,10,1.655106
-10,10,1.680037
-10,10,1.706965
-10,10,1.732895
-10,10,1.759837
-10,10,1.785757
-10,10,1.889439
-10,10,1.915422
-10,10,1.942337
-10,10,1.967274
-6,7,1.98618
-10,10,2.013156
-10,10,2.039077
-10,10,2.065005
-10,10,2.091936
-10,10,2.118869
-10,10,2.23355
-10,10,2.264436
-10,10,2.297348
-10,10,2.329262
-10,10,2.411097
-10,10,2.436028
-8,9,2.458965
-10,10,2.484885
-10,10,2.51281
-10,10,2.537744
-10,10,2.616403
-10,10,2.643332
-10,10,2.669262
-10,10,2.695193
-10,10,2.719129
-10,10,2.811881
-10,10,2.838809
-10,10,2.866734
-10,10,2.936547
-10,10,2.993395
-10,10,3.019326
-10,10,3.045256
-10,10,3.072198
-10,10,3.097118
-10,10,3.124046
-10,10,3.149976
-10,10,3.179898
-6,7,3.285658
-10,10,3.313541
-10,10,3.342464
-10,10,3.371386
-10,10,3.402303
-10,10,3.430272
-10,10,3.457155
-10,10,3.483086
-10,10,3.59379
-10,10,3.661608
-10,10,3.686542
-10,10,3.71347
-10,10,3.7394
-10,10,3.766328
-10,10,3.792259
-10,10,3.902963
-10,10,3.928894
-10,10,3.954824
-10,10,3.981752
-10,10,4.009677
-10,10,4.035608
-10,10,4.110527
-10,10,4.136458
-8,9,4.159379
-10,10,4.183338
-10,10,4.210261
-10,10,4.236191
-10,10,4.336922
-6,7,4.35487
-10,10,4.382796
-10,10,4.408692
-10,10,4.434661
-10,10,4.510462
-10,10,4.53539
-10,10,4.563277
-10,10,4.590242
-10,10,4.616176
-10,10,4.642108
-10,10,4.668034
-4,5,4.759784
-10,10,4.806666
-10,10,4.837582
-10,10,4.863513
-10,10,4.891444
-10,10,4.919351
-10,10,4.946289
-10,10,4.971186
-10,10,5.053007
-10,10,5.079086
-10,10,5.134906
-10,10,5.158873
-10,10,5.1858
-9,10,5.212729
-10,10,5.238664
-10,10,5.265587
-10,10,5.291507
-10,10,5.377288
-10,10,5.405214
-10,10,5.463059
-10,10,5.518915
-10,10,5.545831
-10,10,5.571764
-10,10,5.597705
-10,10,5.656541
-10,10,5.683469
-10,10,5.709401
-10,10,5.736339
-3,4,5.746304
-5,6,5.763215
-10,10,5.788149
-10,10,5.873963
-10,10,5.89989
-10,10,5.92781
-10,10,6.006566
-10,10,6.030541
-10,10,6.058467
-10,10,6.086392
-10,10,6.11332
-10,10,6.139212
-10,10,6.165143
-10,10,6.249954
-10,10,6.276882
-10,10,6.302917
-10,10,6.329844
-10,10,6.355734
-5,6,6.407638
-10,10,6.434558
-10,10,6.462487
-10,10,6.487422
-10,10,6.514352
-10,10,6.603112
-10,10,6.628045
-10,10,6.652979
-10,10,6.679906
-10,10,6.705809
-10,10,6.731783
-10,10,6.828509
-3,4,6.838485
-8,9,6.862378
-10,10,6.88835
-7,8,6.909291
-10,10,6.936222
-10,10,7.020996
-10,10,7.045931
-8,9,7.066872
-10,10,7.092802
-10,10,7.118733
-10,10,7.145662
-10,10,7.172645
-10,10,7.249383
-10,10,7.275314
-10,10,7.301248
-10,10,7.328173
-10,10,7.356652
-10,10,7.380584
-10,10,7.406518
-10,10,7.431458
-4,5,7.526197
-9,10,7.553126
-10,10,7.579058
-9,10,7.604991
-10,10,7.631876
-4,5,7.645026
-8,9,7.667968
-10,10,7.738734
-10,10,7.764706
-10,10,7.790637
-10,10,7.814578
-10,10,7.841501
-10,10,7.867435
-10,10,7.89436
-10,10,7.920295
-10,10,7.947179
-10,10,8.046912
-10,10,8.073879
-10,10,8.098815
-10,10,8.125741
-10,10,8.210557
-10,10,8.236488
-10,10,8.262419
-10,10,8.28835
-10,10,8.314282
-10,10,8.340211
-10,10,8.367144
-10,10,8.394067
-10,10,8.486825
-10,10,8.514745
-10,10,8.542674
-10,10,8.612493
-10,10,8.669339
-10,10,8.695224
-10,10,8.721153
-3,4,8.782029
-10,10,8.809955
-6,7,8.829906
-10,10,8.888706
-10,10,8.914638
-10,10,8.938575
-10,10,8.964542
-10,10,8.992469
-10,10,9.067278
-10,10,9.093202
-10,10,9.11913
-8,9,9.222826
-10,10,9.247783
-10,10,9.274716
-10,10,9.300653
-10,10,9.328565
-10,10,9.39539
-10,10,9.422279
-6,7,9.438276
-10,10,9.465202
-10,10,9.491133
-10,10,9.517064
-10,10,9.544983
-10,10,9.571877
-10,10,9.597857
-10,10,9.690597
-10,10,9.71653
-10,10,9.743462
-10,10,9.769388
-10,10,9.795319
-10,10,9.821251
-10,10,9.846183
-10,10,9.950903
-10,10,9.975837
-10,10,10.001768
-10,10,10.0277
-10,10,10.054626
-10,10,10.130385
-10,10,10.155318
-10,10,10.183286
-10,10,10.210225
-10,10,10.283979
-10,10,10.310961
-10,10,10.337877
-10,10,10.364801
-10,10,10.390732
-10,10,10.417664
-10,10,10.442592
-10,10,10.468483
-10,10,10.494414
-10,10,10.602166
-10,10,10.628088
-10,10,10.653031
-10,10,10.678964
-10,10,10.70585
-10,10,10.732816
-10,10,10.81759
-10,10,10.843521
-10,10,10.87045
-10,10,10.897377
-10,10,10.923267
-10,10,10.948241
-10,10,11.031019
-10,10,11.056952
-10,10,11.084882
-10,10,11.111807
-10,10,11.137739
-10,10,11.162672
-10,10,11.188559
-3,4,11.253422
-8,9,11.277361
-10,10,11.303295
-10,10,11.358145
-10,10,11.384036
-10,10,11.408011
-10,10,11.490752
-10,10,11.517679
-10,10,11.546639
-10,10,11.575565
-10,10,11.604447
-10,10,11.63043
-10,10,11.725156
-10,10,11.751095
-10,10,11.777025
-10,10,11.803953
-10,10,11.83088
-10,10,11.857808
-10,10,11.884698
-10,10,11.965521
-10,10,11.992449
-7,8,12.031344
-10,10,12.059269
-10,10,12.086197
-10,10,12.164991
-10,10,12.18992
-10,10,12.214865
-10,10,12.241782
-10,10,12.267712
-10,10,12.293635
-10,10,12.318581
-10,10,12.398369
-10,10,12.425291
-10,10,12.45222
-10,10,12.478142
-10,10,12.502086
-10,10,12.528016
-10,10,12.553957
-10,10,12.644665
-10,10,12.671594
-10,10,12.69856
-10,10,12.724452
-10,10,12.750417
