# {"t_start": 1599164722.102511, "env_id": "gaussexplore-v0"} 
r,l,t
4.829318,20,1.05423
0.74242,20,1.654757
1.331861,20,2.183434
2.332857,20,2.753253
1.481522,20,3.358491
3.620736,20,3.964737
2.333539,20,4.550198
3.255395,20,5.157804
1.232641,20,5.742213
1.41121,20,6.282527
2.185892,20,6.854247
1.614367,20,7.462047
2.250004,20,8.08389
0.094509,20,8.631005
2.97179,20,9.21682
1.311342,20,9.764235
0.707219,20,10.28761
1.514425,20,10.858453
1.499483,20,11.460262
1.000862,20,12.066221
0.704647,20,12.629884
3.586757,20,13.208681
1.640402,20,13.740676
3.318856,20,14.377786
1.630408,20,14.933515
1.867666,20,15.479944
0.581974,20,16.052277
4.081209,20,16.643919
0.885596,20,17.276957
6.438324,20,17.869654
0.734069,20,18.436124
1.61998,20,19.013203
0.533578,20,19.616501
2.924635,20,20.247059
1.940468,20,20.8467
2.389804,20,21.429122
0.736389,20,22.02172
1.107857,20,22.536397
0.682701,20,23.054352
0.585369,20,23.557785
0.895686,20,24.107646
2.408776,20,24.727877
0.342907,20,25.288997
1.156592,20,25.870517
2.208467,20,26.519037
2.70084,20,27.021768
3.017642,20,27.630446
1.063306,20,28.242488
3.306671,20,28.86358
0.346421,20,29.399799
6.717051,20,30.00083
6.91895,20,30.586418
5.152557,20,31.098259
3.024744,20,31.750217
1.541405,20,32.340487
1.830359,20,32.88281
1.073733,20,33.40504
1.565682,20,33.907706
1.401948,20,34.528318
1.598146,20,35.107614
0.105724,20,35.741261
2.507726,20,36.30506
3.075102,20,36.883092
0.207428,20,37.51848
6.222884,20,38.068668
1.079479,20,38.758505
1.688865,20,39.42966
0.342878,20,39.99516
4.598332,20,40.590689
1.207514,20,41.017285
1.265119,20,41.483902
0.480913,20,42.042673
2.924627,20,42.644569
0.650221,20,43.24777
0.759424,20,43.679248
1.465189,20,44.111894
1.643261,20,44.63131
1.312073,20,45.260619
1.105949,20,45.791119
6.841888,20,46.325833
1.164907,20,46.942027
1.560509,20,47.556196
1.720098,20,48.064626
0.622542,20,48.604545
0.86624,20,49.237581
1.104541,20,49.825227
1.247119,20,50.37072
4.066301,20,50.972029
1.390179,20,51.494184
2.193316,20,52.083652
1.141976,20,52.655462
4.163756,20,53.263265
0.532343,20,53.878819
2.023849,20,54.387742
0.698397,20,55.012739
1.751208,20,55.53503
2.211048,20,56.091713
9.253236,20,56.653316
0.986635,20,57.24351
1.422019,20,57.862228
2.038984,20,58.476477
7.415163,20,59.015013
1.945883,20,59.318177
1.937193,20,59.82504
1.144447,20,60.447215
1.404452,20,61.017978
2.298386,20,61.55328
0.520879,20,62.116358
1.180635,20,62.695024
1.749068,20,63.329231
0.331729,20,63.925444
2.057222,20,64.594032
1.003736,20,65.201036
0.770591,20,65.817389
3.876584,20,66.428265
2.871545,20,66.993539
3.725128,20,67.560853
1.319663,20,68.136031
1.908424,20,68.735451
1.782746,20,69.300823
1.536584,20,69.931591
0.518928,20,70.55833
2.204141,20,71.198574
0.952144,20,71.815293
6.585813,20,72.462412
6.059911,20,73.098193
1.195825,20,73.658823
1.061152,20,74.29067
3.966469,20,74.865293
0.251706,20,75.444146
2.409386,20,76.014866
2.184017,20,76.569729
