# {"t_start": 1599164722.0493708, "env_id": "gaussexplore-v0"} 
r,l,t
1.360127,20,1.101852
2.343577,20,1.704904
1.608174,20,2.233635
2.291134,20,2.799338
4.47069,20,3.408692
2.569697,20,4.015671
0.247227,20,4.600346
1.727305,20,5.206956
2.104973,20,5.793359
4.975821,20,6.333634
2.187863,20,6.904353
3.26901,20,7.513193
0.493073,20,8.133886
2.113466,20,8.681156
2.454281,20,9.266969
1.295113,20,9.815336
1.429402,20,10.337708
4.920759,20,10.908026
2.878486,20,11.511405
1.236303,20,12.115369
1.485958,20,12.681001
2.130803,20,13.258829
1.69067,20,13.787628
4.566994,20,14.422947
3.043054,20,14.984663
3.31124,20,15.531117
0.058074,20,16.102426
3.390514,20,16.695064
4.714517,20,17.327071
1.47679,20,17.921094
0.724471,20,18.486273
0.76288,20,19.061357
1.597906,20,19.666648
1.781909,20,20.297207
4.788628,20,20.896843
3.913084,20,21.475279
3.33036,20,22.071871
2.455774,20,22.585547
0.764127,20,23.1045
3.535596,20,23.607973
1.93494,20,24.157779
2.095446,20,24.777973
0.772013,20,25.340143
1.718331,20,25.919753
1.987342,20,26.569143
2.800218,20,27.069921
1.42891,20,27.680563
2.632532,20,28.293634
4.288885,20,28.914721
2.892895,20,29.450944
1.212415,20,30.047987
2.643066,20,30.636566
2.608057,20,31.147409
3.430221,20,31.797373
4.480143,20,32.390636
0.456761,20,32.93296
1.558037,20,33.455189
0.677042,20,33.95686
0.912492,20,34.578426
5.290663,20,35.157738
0.383118,20,35.792373
2.230089,20,36.354181
0.116238,20,36.932242
0.483717,20,37.566912
2.4593,20,38.116817
2.643092,20,38.804684
0.551012,20,39.476809
2.333837,20,40.046305
0.077666,20,40.64081
3.075679,20,41.065439
7.109924,20,41.533052
0.565976,20,42.093819
1.670234,20,42.695714
3.441254,20,43.297919
0.973344,20,43.729038
1.411801,20,44.160986
1.927947,20,44.680218
2.626099,20,45.310598
1.221376,20,45.840232
1.876661,20,46.374572
5.421541,20,46.992174
5.759782,20,47.606419
1.810791,20,48.112759
2.555955,20,48.654577
2.159014,20,49.286731
1.044417,20,49.876411
0.092643,20,50.421666
0.410451,20,51.022178
0.297983,20,51.544333
0.681126,20,52.132752
2.176269,20,52.705582
7.221605,20,53.311419
0.952349,20,53.930036
0.624971,20,54.436893
4.026024,20,55.063886
0.650779,20,55.584163
3.261965,20,56.140397
1.263292,20,56.703463
1.115532,20,57.290666
0.847257,20,57.912377
3.673639,20,58.52762
1.050815,20,59.066171
0.437744,20,59.368324
4.384655,20,59.872195
5.590879,20,60.498323
0.626104,20,61.068128
0.329423,20,61.603428
1.221352,20,62.16445
0.8078,20,62.744136
3.53719,20,63.379378
1.650644,20,63.975591
1.327577,20,64.64015
1.565092,20,65.251183
0.104235,20,65.868537
1.983448,20,66.477412
1.43115,20,67.040131
2.767615,20,67.611065
5.033578,20,68.18716
4.358654,20,68.785598
4.966685,20,69.348089
0.792729,20,69.980742
2.272978,20,70.605164
3.148758,20,71.248719
0.826752,20,71.861453
2.181063,20,72.508782
1.716912,20,73.144352
0.804153,20,73.709738
1.193621,20,74.340817
1.591625,20,74.915473
2.907306,20,75.494297
2.138969,20,76.066012
2.416293,20,76.619874
6.166672,20,77.155305
0.906111,20,77.671101
3.55256,20,78.300419
0.016207,20,78.85858
0.758208,20,79.445132
2.384167,20,80.025639
0.050659,20,80.664134
1.165262,20,81.262553
2.857273,20,81.824772
0.70068,20,82.389107
2.289264,20,82.984837
2.096546,20,83.592101
0.674162,20,84.154753
1.678803,20,84.749894
1.117638,20,85.377485
1.221046,20,85.937184
6.408353,20,86.544225
1.011873,20,87.160464
1.582763,20,87.756335
0.301511,20,88.316699
1.985864,20,88.924499
4.103176,20,89.497455
0.782887,20,90.129872
3.0681,20,90.686795
2.657537,20,91.303458
3.536,20,91.785396
3.114534,20,92.292713
1.11809,20,92.825127
2.129314,20,93.449603
8.750121,20,93.997098
2.216197,20,94.577144
1.858348,20,95.140619
3.019266,20,95.751822
0.760628,20,96.36888
2.751563,20,96.993346
1.989408,20,97.570955
2.765245,20,98.126764
1.35772,20,98.726134
9.663176,20,99.319987
0.044677,20,99.875548
1.085274,20,100.440481
3.183282,20,100.951062
0.06866,20,101.537053
0.780785,20,102.130259
1.966568,20,102.726733
1.785052,20,103.319099
1.63827,20,103.855386
1.167631,20,104.456287
3.129384,20,105.01333
2.666707,20,105.568368
0.908563,20,106.174748
0.934934,20,106.796653
2.745571,20,107.424485
0.035592,20,108.009947
2.384023,20,108.690119
2.00046,20,109.271691
1.336836,20,109.838942
0.728499,20,110.405927
0.146156,20,110.995378
2.278084,20,111.512208
5.392151,20,112.078097
0.505341,20,112.709214
2.586427,20,113.287729
1.038148,20,113.830425
5.281724,20,114.457376
1.685358,20,115.013143
0.90687,20,115.568971
0.448379,20,116.131503
1.638114,20,116.768375
6.30999,20,117.318377
1.079377,20,117.751787
2.593011,20,118.068952
2.151868,20,118.659938
0.096752,20,119.282415
1.967036,20,119.862052
6.162734,20,120.484295
0.427301,20,121.027546
1.854176,20,121.556276
0.803533,20,122.158803
2.399735,20,122.793519
1.778798,20,123.383032
0.433629,20,123.980788
2.756353,20,124.592565
0.7703,20,125.200274
0.333435,20,125.769251
1.721977,20,126.325068
0.357871,20,126.911745
3.465172,20,127.517378
0.865152,20,128.083987
3.580086,20,128.690922
2.687078,20,129.306427
1.770669,20,129.897446
3.128237,20,130.482677
2.202432,20,131.031284
1.817387,20,131.618204
0.974588,20,132.184705
1.607872,20,132.7735
1.928207,20,133.298629
2.611399,20,133.902468
2.481841,20,134.515204
1.040467,20,135.088809
2.034711,20,135.701162
1.746752,20,136.242414
0.578977,20,136.806172
2.202875,20,137.386764
4.881162,20,138.007843
4.641744,20,138.594885
1.563756,20,139.150821
1.403213,20,139.772233
1.156333,20,140.320159
6.892786,20,140.901417
0.962975,20,141.541625
1.219949,20,142.063587
1.780947,20,142.642311
2.142383,20,143.221427
0.439317,20,143.801555
1.399953,20,144.384256
2.051048,20,144.986194
2.548723,20,145.546011
0.841143,20,146.146689
2.978479,20,146.675054
0.824568,20,147.268885
7.12783,20,147.915983
3.205962,20,148.460519
0.761644,20,149.023328
1.415519,20,149.592247
1.916248,20,150.159685
10.602713,20,150.705325
1.344936,20,151.248379
1.78493,20,151.85291
2.045198,20,152.411733
9.645235,20,153.047313
4.734086,20,153.633969
0.053473,20,154.209411
2.678315,20,154.790469
0.252487,20,155.403887
0.449764,20,156.022089
1.763529,20,156.672715
2.23722,20,157.213923
2.750154,20,157.774487
1.913656,20,158.379123
1.009453,20,158.993484
0.848445,20,159.564206
7.112268,20,160.131818
2.945572,20,160.703573
9.077016,20,161.240541
1.031924,20,161.794628
0.266213,20,162.357473
0.935871,20,162.938604
1.081472,20,163.517848
1.236543,20,164.082963
8.386409,20,164.653785
0.481728,20,165.159906
1.366994,20,165.759763
1.50206,20,166.34909
1.973271,20,166.926342
2.140849,20,167.515696
3.441845,20,168.148077
0.063303,20,168.796657
2.526579,20,169.432712
3.858073,20,169.998458
0.890295,20,170.577711
2.246615,20,171.204264
5.620911,20,171.804826
4.045292,20,172.422957
6.573355,20,173.045281
3.04942,20,173.643055
0.860429,20,174.218594
3.123333,20,174.871266
1.302207,20,175.493821
0.889885,20,176.064986
1.962026,20,176.515664
1.252559,20,176.77571
3.168966,20,177.36634
2.106373,20,177.901876
3.650158,20,178.513559
0.49788,20,179.074666
1.142589,20,179.624266
0.767886,20,180.200985
0.052788,20,180.791211
0.317724,20,181.429163
0.915554,20,182.010689
3.096027,20,182.60104
2.153134,20,183.135298
3.58005,20,183.711163
1.579336,20,184.277868
3.608948,20,184.87743
2.977251,20,185.437705
1.17999,20,185.995604
1.801733,20,186.624151
2.172701,20,187.222658
0.738106,20,187.737285
1.787174,20,188.354757
11.259919,20,188.88731
2.98111,20,189.449803
1.567811,20,190.073581
1.976519,20,190.629037
1.29376,20,191.1915
1.54824,20,191.73384
0.953123,20,192.371731
0.457112,20,192.999583
1.620024,20,193.633972
1.448918,20,194.196271
0.248059,20,194.796211
3.583292,20,195.435098
1.595195,20,196.089759
6.114602,20,196.741449
2.035498,20,197.294614
2.63809,20,197.845095
0.877471,20,198.374124
0.250614,20,198.969708
0.796313,20,199.588223
0.948501,20,200.195636
0.557094,20,200.848034
1.439842,20,201.402367
2.265598,20,201.988942
0.2082,20,202.627635
4.682557,20,203.173686
1.74681,20,203.760744
6.359428,20,204.362842
4.159998,20,204.951753
3.137416,20,205.477094
0.358925,20,206.102869
1.140785,20,206.689076
2.726154,20,207.261149
1.097464,20,207.839914
0.089771,20,208.417492
2.229764,20,209.050634
1.366169,20,209.658824
2.251551,20,210.261406
5.692947,20,210.834049
2.576858,20,211.426255
0.971286,20,212.012162
4.05815,20,212.590518
0.236195,20,213.166318
8.173626,20,213.752979
1.530376,20,214.377315
0.652288,20,214.974669
1.439087,20,215.582067
8.310214,20,216.189829
4.484475,20,216.858099
1.369243,20,217.448343
1.86733,20,218.05814
0.207972,20,218.714625
1.501074,20,219.301491
2.18186,20,219.875136
0.588713,20,220.497667
1.501811,20,221.082119
0.977356,20,221.727369
0.033645,20,222.333487
1.542157,20,222.95067
0.756548,20,223.545983
0.804565,20,224.163151
1.536182,20,224.760489
3.970473,20,225.395295
7.387628,20,226.029381
